dataset,image_id,candidate_pixels,candidate_pixels_selected_k,candidate_target_leakage_pixels,candidate_far_bg_ratio,candidate_high_evidence_mean,candidate_ohem_overlap_fraction,target_dilate_pixels,far_bg_pixels
NUDT-SIRST,001039,654,654,0,1.0,2.598173523438163e-06,0.8685714285714285,588,64948
NUDT-SIRST,000066,655,655,0,1.0,1.315481085839565e-06,0.9728915662650602,238,65298
NUDT-SIRST,000002,655,655,0,1.0,2.3956631594046485e-06,0.9552238805970149,289,65247
NUDT-SIRST,000843,654,654,0,1.0,1.8480616290617036e-06,0.7967032967032966,698,64838
NUDT-SIRST,000659,654,654,0,1.0,2.900835625041509e-06,0.9122807017543859,696,64840
NUDT-SIRST,000298,654,654,0,1.0,1.595890012140444e-06,0.8293706293706293,1185,64351
NUDT-SIRST,000227,654,654,0,1.0,1.283527240047988e-06,0.8268156424581006,868,64668
NUDT-SIRST,000951,654,654,0,1.0,2.4098670110106468e-05,0.8984034833091437,642,64894
NUDT-SIRST,000299,654,654,0,1.0,4.1773046177695505e-06,0.9150805270863837,590,64946
NUDT-SIRST,000937,654,654,0,1.0,3.741353066288866e-05,0.7416777629826897,637,64899
NUDT-SIRST,000547,654,654,0,1.0,5.345188583305571e-06,0.9493293591654247,445,65091
NUDT-SIRST,000948,654,654,0,1.0,5.151298682903871e-05,0.8632478632478633,600,64936
NUDT-SIRST,000859,654,654,0,1.0,4.5963211050548125e-06,0.8766140602582496,750,64786
NUDT-SIRST,000058,655,655,0,1.0,8.555756494388334e-07,0.8068965517241379,289,65247
NUDT-SIRST,000422,655,655,0,1.0,7.841934348107316e-06,0.9728915662650602,320,65216
NUDT-SIRST,001140,655,655,0,1.0,7.229625680338359e-07,0.8848920863309353,289,65247
NUDT-SIRST,000873,654,654,0,1.0,9.999010217143223e-06,0.6726342710997443,742,64794
NUDT-SIRST,001249,654,654,0,1.0,0.0008669786620885134,0.8984034833091437,600,64936
NUDT-SIRST,000822,654,654,0,1.0,8.312485988426488e-07,0.8553191489361702,696,64840
NUDT-SIRST,000745,654,654,0,1.0,2.9036966679996112e-06,0.8874458874458875,834,64702
NUDT-SIRST,000609,655,655,0,1.0,2.6693689505918883e-05,0.9640179910044977,364,65172
NUDT-SIRST,000881,654,654,0,1.0,8.530717423127498e-06,0.8553191489361702,768,64768
NUDT-SIRST,001271,654,654,0,1.0,9.796080848900601e-05,0.9263622974963182,667,64869
NUDT-SIRST,000851,654,654,0,1.0,7.319900419133774e-07,0.8422535211267606,770,64766
NUDT-SIRST,000848,654,654,0,1.0,9.836701337917475e-07,0.8141470180305131,728,64808
NUDT-SIRST,001016,654,654,0,1.0,4.4143409468233585e-05,0.5334114888628371,768,64768
NUDT-SIRST,001100,654,654,0,1.0,1.2138019883423112e-05,0.7324503311258278,770,64766
NUDT-SIRST,000004,655,655,0,1.0,2.8015836051054066e-06,0.9728915662650602,289,65247
NUDT-SIRST,001208,655,655,0,1.0,3.144116931252938e-07,0.9378698224852071,289,65247
NUDT-SIRST,000099,655,655,0,1.0,1.5431154679390602e-05,0.7702702702702703,646,64890
NUDT-SIRST,000073,655,655,0,1.0,7.994593943294603e-06,0.9818456883509834,289,65247
NUDT-SIRST,000049,655,655,0,1.0,4.695015832112404e-06,0.9581464872944694,289,65247
NUDT-SIRST,000158,654,654,0,1.0,2.3545587737316964e-06,0.8659058487874465,742,64794
NUDT-SIRST,001279,655,655,0,1.0,2.5505709345452487e-05,0.9523099850968704,471,65065
NUDT-SIRST,000063,655,655,0,1.0,1.20477011478215e-06,0.9669669669669669,289,65247
NUDT-SIRST,001181,655,655,0,1.0,4.045644800498849e-06,0.9669669669669669,289,65247
NUDT-SIRST,000515,654,654,0,1.0,0.00021805489086546004,0.7580645161290323,1181,64355
NUDT-SIRST,001054,654,654,0,1.0,4.340418308856897e-05,0.8066298342541437,698,64838
