image_id,neg_pixels,target_leakage_neg_pixels,far_bg_valid_ratio,evidence_prob_on_neg_mean,evidence_prob_on_target_mean,evidence_prob_on_easy_bg_mean,selected_k
001137,512,0,0.9974212646484375,8.373355058211018e-07,0.9986289143562317,3.5451006574760413e-09,512
000345,512,0,0.997650146484375,2.445467544021085e-06,0.9996873140335083,2.8085606729177925e-08,512
000774,512,0,0.9976806640625,1.9055461962125264e-05,0.9992504715919495,5.5230490403346266e-08,512
000593,512,0,0.9939117431640625,0.003417316358536482,0.9999223947525024,1.546919406791858e-06,512
001002,512,0,0.993896484375,6.016810948494822e-05,0.9616057276725769,1.600006100943574e-07,512
001024,512,0,0.99371337890625,2.168685387005098e-05,0.9199795126914978,7.042897465225906e-08,512
001285,512,0,0.9961395263671875,6.078978913137689e-06,0.9001072645187378,2.6769255256908764e-08,512
000649,512,0,0.9933624267578125,7.454427759512328e-06,0.9063889384269714,5.0236547366466766e-08,512
000282,512,0,0.9944000244140625,7.906991413619835e-06,0.9778894186019897,6.701641552808724e-08,512
000037,512,0,0.9974212646484375,5.421456080512144e-06,0.9997227787971497,8.925644578994252e-08,512
001150,512,0,0.9974212646484375,1.8657842701941263e-06,0.999409019947052,1.8752027486357292e-08,512
001124,512,0,0.9974212646484375,1.574238012835849e-06,0.9998548030853271,3.9855212463635326e-08,512
001185,512,0,0.994842529296875,1.9757883364945883e-06,0.9998180866241455,1.0091355306940386e-07,512
000718,512,0,0.992431640625,2.5244933567591943e-05,0.90390545129776,1.0719967491468196e-07,512
000968,512,0,0.994171142578125,4.3330735934432596e-05,0.9617190361022949,1.5559753308025392e-07,512
001216,512,0,0.9974212646484375,1.0122235835297033e-05,0.9997990727424622,3.682983695796338e-09,512
000494,512,0,0.9875946044921875,0.00011331129644531757,0.966187059879303,4.328437697154186e-08,512
001015,512,0,0.992950439453125,7.186074526543962e-06,0.9555200934410095,1.1333290217407921e-07,512
001186,512,0,0.994842529296875,1.9155797872372204e-06,0.9993605017662048,1.0994776999950773e-07,512
000197,512,0,0.9936370849609375,1.3602308399640606e-06,0.8631585240364075,3.797715208975205e-08,512
000811,512,0,0.9935760498046875,9.962238891603192e-07,0.8295742869377136,1.033344254608437e-08,512
