image_name,ohem_mIoU,cga_mIoU,ohem_Pd,cga_Pd,ohem_Precision,cga_Precision,ohem_FA_ppm,cga_FA_ppm,ohem_FP_components,cga_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,boundary_excess_pixels,center_peak_prob,center_peak_hit_rate,scale_acc_on_target,local_peak_false_alarm_count,boundary_prob_mean
000633,0.2777777777777778,0.17045454545454544,1.0,1.0,0.2777777777777778,0.17045454545454544,595.0927734375,1113.8916015625,2,2,35,6,1,1,0,0,0.700903594493866,1.0,0.20000001788139343,2,0.47622260451316833
001176,0.036036036036036036,0.061946902654867256,1.0,1.0,0.03773584905660377,0.06306306306306306,1556.396484375,1586.9140625,5,6,5,5,3,3,0,0,0.5542550683021545,1.0,0.0,6,0.3289022743701935
000194,0.8620689655172413,0.7903225806451613,1.0,1.0,0.9615384615384616,0.8909090909090909,30.517578125,91.552734375,0,0,4,3,0,0,2,4,0.4942901134490967,0.5,0.4285714626312256,0,0.6771958470344543
000744,0.7236842105263158,0.6962025316455697,1.0,1.0,0.873015873015873,0.8333333333333334,122.0703125,167.8466796875,0,0,3,3,0,0,2,3,0.21532520651817322,0.0,0.779411792755127,0,0.6705874800682068
000521,0.6766917293233082,0.8074074074074075,1.0,1.0,0.9,0.9008264462809917,152.587890625,183.10546875,0,0,3,3,1,1,2,3,0.5135316848754883,0.5,0.9999999403953552,0,0.5330533385276794
000862,0.6031746031746031,0.6212121212121212,1.0,1.0,0.6909090909090909,0.6721311475409836,259.3994140625,305.17578125,1,1,4,3,1,1,1,1,0.21541686356067657,0.0,0.9130434989929199,1,0.7363258600234985
000439,0.9186991869918699,0.8888888888888888,1.0,1.0,0.9495798319327731,0.9256198347107438,91.552734375,137.3291015625,0,0,3,3,0,0,1,3,0.5367557406425476,1.0,1.0,0,0.7489479780197144
000498,0.8173913043478261,0.8983050847457628,1.0,1.0,0.9894736842105263,0.9636363636363636,15.2587890625,61.03515625,0,0,3,3,0,0,0,3,0.5675467252731323,1.0,1.0,0,0.5640255212783813
000465,0.8555555555555555,0.861878453038674,1.0,1.0,0.9333333333333333,0.9285714285714286,167.8466796875,183.10546875,0,0,3,3,2,2,0,3,0.6050294637680054,1.0,1.0,0,0.5423446297645569
000976,0.6610169491525424,0.639344262295082,1.0,1.0,0.6724137931034483,0.65,289.9169921875,320.4345703125,1,1,3,3,1,1,0,1,0.3299280107021332,0.0,1.0,1,0.7405922412872314
000496,0.8571428571428571,0.8375,1.0,1.0,0.9041095890410958,0.8701298701298701,106.8115234375,152.587890625,0,0,3,3,0,0,0,3,0.6402804851531982,1.0,1.0,0,0.7078844308853149
000233,0.8448275862068966,0.9344262295081968,1.0,1.0,1.0,0.95,0.0,45.7763671875,0,0,3,3,0,0,0,3,0.4826715886592865,0.0,1.0,0,0.6338178515434265
000226,0.8133333333333334,0.7564102564102564,1.0,1.0,0.9242424242424242,0.8805970149253731,76.2939453125,122.0703125,0,0,3,2,0,0,2,3,0.35012102127075195,0.0,0.7714285850524902,0,0.6168302893638611
