image_id,candidate_pixels,base_candidate_pixels,far_pixels,ohem_budget,ohem_pixels,candidate_to_budget_ratio,target_leakage_pixels,target_top20_rate,selected_ohem_overlap,nonflat_candidate_ratio,candidate_pstd_mean,ohem_pstd_mean,pstd_enrichment_vs_ohem
000085,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,6.105032070991001e-07,0.0
000064,0,0,65332,653,653,0.0,0,1.0,0.0,0.0,0.0,1.9809533569059568e-08,0.0
000312,0,0,64923,649,649,0.0,0,1.0,0.0,0.0,0.0,1.127228443920103e-08,0.0
000213,0,0,64731,647,647,0.0,0,1.0,0.0,0.0,0.0,5.099600386415659e-08,0.0
001297,0,0,64869,648,648,0.0,0,1.0,0.0,0.0,0.0,3.4071042591676814e-06,0.0
001039,0,0,64948,649,649,0.0,0,1.0,0.0,0.0,0.0,8.160799147560738e-09,0.0
000066,0,0,65298,652,652,0.0,0,1.0,0.0,0.0,0.0,5.017611659496879e-09,0.0
000002,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,1.2509632441037866e-08,0.0
000843,0,0,64838,648,648,0.0,0,1.0,0.0,0.0,0.0,1.3486654015792965e-09,0.0
000659,6,6,64840,648,648,0.009259259259259259,0,1.0,0.009259259259259259,1.0,0.19042500853538513,0.002489502541720867,76.49118863873662
000298,0,0,64351,643,643,0.0,0,1.0,0.0,0.0,0.0,2.0094498509592995e-08,0.0
000227,0,0,64668,646,646,0.0,0,1.0,0.0,0.0,0.0,8.981383636808005e-09,0.0
000951,0,0,64894,648,648,0.0,0,1.0,0.0,0.0,0.0,6.827328320468951e-07,0.0
000299,0,0,64946,649,649,0.0,0,1.0,0.0,0.0,0.0,1.2888002665079057e-08,0.0
000937,0,0,64899,648,648,0.0,0,1.0,0.0,0.0,0.0,6.557404503837461e-07,0.0
000547,0,0,65091,650,650,0.0,0,1.0,0.0,0.0,0.0,1.969072229712765e-07,0.0
000948,0,0,64936,649,649,0.0,0,1.0,0.0,0.0,0.0,1.989449174288893e-07,0.0
000859,0,0,64786,647,647,0.0,0,1.0,0.0,0.0,0.0,2.5432372652289814e-08,0.0
000058,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,8.81725270573952e-07,0.0
000422,0,0,65216,652,652,0.0,0,1.0,0.0,0.0,0.0,2.9534248824347742e-08,0.0
001140,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,1.0101509850812818e-08,0.0
000873,0,0,64794,647,647,0.0,0,1.0,0.0,0.0,0.0,1.4813416271408641e-08,0.0
001249,0,0,64936,649,649,0.0,0,1.0,0.0,0.0,0.0,0.00021863773872610182,0.0
000822,0,0,64840,648,648,0.0,0,1.0,0.0,0.0,0.0,7.152223702178162e-08,0.0
000745,0,0,64702,647,647,0.0,0,1.0,0.0,0.0,0.0,2.3558479611551775e-08,0.0
000609,0,0,65172,651,651,0.0,0,1.0,0.0,0.0,0.0,2.062094850430185e-08,0.0
000881,0,0,64768,647,647,0.0,0,1.0,0.0,0.0,0.0,2.717559688392157e-08,0.0
001271,0,0,64869,648,648,0.0,0,1.0,0.0,0.0,0.0,9.940162044586032e-07,0.0
000851,0,0,64766,647,647,0.0,0,1.0,0.0,0.0,0.0,1.9355047342628495e-08,0.0
000848,0,0,64808,648,648,0.0,0,1.0,0.0,0.0,0.0,2.819023237066176e-08,0.0
001016,0,0,64768,647,647,0.0,0,1.0,0.0,0.0,0.0,5.711420953957713e-07,0.0
001100,0,0,64766,647,647,0.0,0,1.0,0.0,0.0,0.0,9.965634717445937e-08,0.0
000004,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,1.2641485191977608e-08,0.0
001208,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,5.88741011497973e-09,0.0
000099,0,0,64890,648,648,0.0,0,1.0,0.0,0.0,0.0,2.1742525859735906e-06,0.0
000073,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,2.414490296587246e-08,0.0
000049,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,1.4545771698237786e-08,0.0
000158,0,0,64794,647,647,0.0,0,1.0,0.0,0.0,0.0,1.5938606878762585e-08,0.0
001279,0,0,65065,650,650,0.0,0,1.0,0.0,0.0,0.0,4.0650422761245864e-07,0.0
000063,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,1.3333694148798259e-08,0.0
001181,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,1.4881899801366671e-07,0.0
000515,0,0,64355,643,643,0.0,0,1.0,0.0,0.0,0.0,2.8505423870228697e-06,0.0
001054,0,0,64838,648,648,0.0,0,1.0,0.0,0.0,0.0,6.492469850627458e-08,0.0
000844,0,0,64852,648,648,0.0,0,1.0,0.0,0.0,0.0,1.8017061620412278e-08,0.0
001177,0,0,64669,646,646,0.0,0,1.0,0.0,0.0,0.0,3.548275984144311e-08,0.0
000934,0,0,64949,649,649,0.0,0,1.0,0.0,0.0,0.0,1.9529377937033132e-07,0.0
000663,0,0,64854,648,648,0.0,0,1.0,0.0,0.0,0.0,4.111742057943957e-08,0.0
000841,0,0,64838,648,648,0.0,0,1.0,0.0,0.0,0.0,6.12601391836165e-09,0.0
000205,0,0,64829,648,648,0.0,0,1.0,0.0,0.0,0.0,1.774888680472486e-08,0.0
000911,0,0,64939,649,649,0.0,0,1.0,0.0,0.0,0.0,2.591357315395726e-07,0.0
000211,0,0,64732,647,647,0.0,0,1.0,0.0,0.0,0.0,1.5105200645848527e-08,0.0
000267,0,0,64337,643,643,0.0,0,1.0,0.0,0.0,0.0,1.1467366611839225e-08,0.0
000379,0,0,65251,652,652,0.0,0,1.0,0.0,0.0,0.0,2.3746203225982754e-08,0.0
000168,0,0,64849,648,648,0.0,0,1.0,0.0,0.0,0.0,8.168247411788343e-09,0.0
000301,0,0,64961,649,649,0.0,0,1.0,0.0,0.0,0.0,1.4180372431837895e-08,0.0
001061,0,0,64886,648,648,0.0,0,1.0,0.0,0.0,0.0,2.4462877945552464e-07,0.0
001299,0,0,64911,649,649,0.0,0,1.0,0.0,0.0,0.0,1.22840231142618e-06,0.0
000818,0,0,65182,651,651,0.0,0,1.0,0.0,0.0,0.0,5.432986949216456e-09,0.0
001070,0,0,64914,649,649,0.0,0,1.0,0.0,0.0,0.0,2.6757321691661673e-08,0.0
001305,0,0,65155,651,651,0.0,0,1.0,0.0,0.0,0.0,9.337386863705888e-09,0.0
001095,0,0,64957,649,649,0.0,0,1.0,0.0,0.0,0.0,1.0135424055590647e-08,0.0
000695,0,0,65149,651,651,0.0,0,1.0,0.0,0.0,0.0,5.687598445547337e-07,0.0
000375,0,0,64966,649,649,0.0,0,1.0,0.0,0.0,0.0,2.0532045397203547e-08,0.0
000061,0,0,64380,643,643,0.0,0,1.0,0.0,0.0,0.0,1.3832590184392757e-08,0.0
000669,0,0,64782,647,647,0.0,0,1.0,0.0,0.0,0.0,1.644784397569765e-08,0.0
000325,0,0,64681,646,646,0.0,0,1.0,0.0,0.0,0.0,4.071855030929328e-08,0.0
000864,5,39,64859,648,648,0.007716049382716049,0,1.0,0.006172839506172839,0.1282051282051282,0.23591294884681702,0.007514714729040861,31.393466998171426
000174,0,0,64816,648,648,0.0,0,1.0,0.0,0.0,0.0,1.5336905789808952e-07,0.0
000347,0,0,65251,652,652,0.0,0,1.0,0.0,0.0,0.0,1.5530767782934163e-08,0.0
000748,0,0,64801,648,648,0.0,0,1.0,0.0,0.0,0.0,1.2789945458280272e-07,0.0
000946,0,0,64854,648,648,0.0,0,1.0,0.0,0.0,0.0,4.3484581624397833e-07,0.0
001274,0,0,64967,649,649,0.0,0,1.0,0.0,0.0,0.0,4.968655389347987e-07,0.0
001059,0,0,64949,649,649,0.0,0,1.0,0.0,0.0,0.0,1.828155689054256e-07,0.0
000253,0,0,64964,649,649,0.0,0,1.0,0.0,0.0,0.0,1.691739157649863e-07,0.0
000679,48,54,64852,648,648,0.07407407407407407,0,1.0,0.027777777777777776,0.8888888888888888,0.30866241455078125,0.008431816473603249,36.606870597466596
001041,0,0,64909,649,649,0.0,0,1.0,0.0,0.0,0.0,4.0091599373681674e-08,0.0
000999,0,0,64875,648,648,0.0,0,1.0,0.0,0.0,0.0,1.198864083562512e-07,0.0
000794,0,0,65213,652,652,0.0,0,1.0,0.0,0.0,0.0,2.698802063605399e-06,0.0
000576,0,0,65001,650,650,0.0,0,1.0,0.0,0.0,0.0,9.589448382030241e-07,0.0
001094,0,0,64859,648,648,0.0,0,1.0,0.0,0.0,0.0,6.392721729753248e-08,0.0
000635,0,0,64890,648,648,0.0,0,1.0,0.0,0.0,0.0,2.7875968200419265e-08,0.0
000825,0,0,65181,651,651,0.0,0,1.0,0.0,0.0,0.0,9.781432908084753e-08,0.0
000013,0,0,64958,649,649,0.0,0,1.0,0.0,0.0,0.0,3.278566751419021e-08,0.0
000627,0,0,64876,648,648,0.0,0,1.0,0.0,0.0,0.0,5.379745360301058e-08,0.0
000487,0,0,64924,649,649,0.0,0,1.0,0.0,0.0,0.0,2.5668489556096574e-08,0.0
001201,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,3.506918133666659e-08,0.0
000457,0,0,64409,644,644,0.0,0,1.0,0.0,0.0,0.0,1.492130081715004e-07,0.0
000916,0,0,64867,648,648,0.0,0,1.0,0.0,0.0,0.0,2.3445423380508146e-08,0.0
000030,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,2.2199056814997675e-08,0.0
