image_name,evidence_mIoU,final_mIoU,evidence_Pd,final_Pd,evidence_Precision,final_Precision,evidence_FA_ppm,final_FA_ppm,evidence_FP_components,final_FP_components,residual_new_fp_pixels,residual_new_fp_components,residual_removed_fp_pixels,residual_removed_fp_components,residual_lost_target_pixels,residual_boundary_excess_pixels,delta_mean_target,delta_mean_boundary,delta_mean_far_bg,delta_positive_far_bg_ratio
000541,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.48479026556015015,0.12688015401363373,0.002030797302722931,0.6032481527093596
000832,0.56,0.58,1.0,1.0,0.7368421052631579,0.7435897435897436,152.587890625,152.587890625,0,0,0,0,0,0,0,0,0.45903831720352173,0.12374649196863174,0.00033511605579406023,0.5546691039781881
000710,0.6,0.6153846153846154,1.0,1.0,0.75,0.7547169811320755,198.3642578125,198.3642578125,0,0,0,0,0,0,0,0,0.4716930687427521,0.12655043601989746,0.0020402749069035053,0.5070067264573991
000316,0.9802631578947368,0.9738562091503268,1.0,1.0,0.9867549668874173,0.9802631578947368,30.517578125,45.7763671875,0,0,1,1,0,0,0,1,0.49551504850387573,0.16662201285362244,0.0014001310337334871,0.5892165811589185
001142,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.4967917203903198,0.21041515469551086,0.0003880480653606355,0.438132742128029
000409,0.5,0.5238095238095238,1.0,1.0,0.6774193548387096,0.6875,152.587890625,152.587890625,0,0,0,0,0,0,0,0,0.4826112389564514,0.14364953339099884,0.0012651673750951886,0.5384531725809458
000226,0.6419753086419753,0.6707317073170732,1.0,1.0,0.8253968253968254,0.8208955223880597,167.8466796875,183.10546875,0,0,1,1,0,0,0,1,0.4661827087402344,0.14329491555690765,0.0008241280447691679,0.4981760359180619
001133,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.49694299697875977,0.18587858974933624,0.0022218520753085613,0.64929930622856
001255,0.8783783783783784,0.8783783783783784,1.0,1.0,0.9701492537313433,0.9701492537313433,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0.48359668254852295,0.12982094287872314,0.002314882818609476,0.5541899787672613
000558,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.49501463770866394,0.14372020959854126,0.0008076289668679237,0.6172938846249072
001000,0.8653846153846154,0.8846153846153846,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.46169278025627136,0.21023276448249817,0.0010940361535176635,0.6134128996351493
000763,0.6666666666666666,0.6666666666666666,1.0,1.0,0.75,0.75,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0.47790974378585815,0.11927208304405212,0.0011405244003981352,0.5145790239791619
000385,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.4987718164920807,0.14705592393875122,0.0003185455861967057,0.5950839088769593
001319,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.49018484354019165,0.11740323156118393,0.0018522044410929084,0.6514985408335006
000591,0.9154929577464789,0.9154929577464789,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.493093341588974,0.1105499193072319,0.0018037001136690378,0.6706853380320875
000484,0.8723404255319149,0.8723404255319149,1.0,1.0,0.9609375,0.9609375,76.2939453125,76.2939453125,0,0,0,0,0,0,0,0,0.48280009627342224,0.11635711789131165,0.00043309011380188167,0.5902649027432989
001236,0.9,0.9,1.0,1.0,0.9,0.9,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0.4947344958782196,0.18486373126506805,0.0008941919077187777,0.580722076084114
000334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.49964579939842224,0.1660185307264328,0.00026449287543073297,0.6193259602221163
000915,0.9375,0.9230769230769231,1.0,1.0,0.9523809523809523,0.9375,45.7763671875,61.03515625,0,0,1,1,0,0,0,1,0.48650988936424255,0.22156861424446106,0.001719341380521655,0.6183649748159628
000523,0.703125,0.7076923076923077,1.0,1.0,0.9574468085106383,0.9387755102040817,30.517578125,45.7763671875,0,0,1,1,0,0,0,1,0.40130341053009033,0.09411238878965378,0.0009500168380327523,0.5738991763175822
000765,0.3684210526315789,0.35,1.0,1.0,0.5384615384615384,0.5,91.552734375,106.8115234375,0,0,1,1,0,0,0,1,0.47573092579841614,0.15465041995048523,0.0005067270831204951,0.5487893108384773
000215,0.55,0.5802469135802469,1.0,1.0,0.7333333333333333,0.734375,244.140625,259.3994140625,0,0,1,1,0,0,0,1,0.468628466129303,0.1377752721309662,0.0003097369335591793,0.5321579997505923
000045,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.4966824948787689,0.25044333934783936,0.000530040415469557,0.5005768609534358
001303,0.95,0.95,1.0,1.0,0.9661016949152542,0.9661016949152542,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0.498801052570343,0.16627512872219086,0.0007331562228500843,0.6404896013864818
000644,0.425531914893617,0.4583333333333333,1.0,1.0,0.6060606060606061,0.6111111111111112,198.3642578125,213.623046875,0,0,1,1,0,0,0,1,0.47252964973449707,0.1325114220380783,0.001526271807961166,0.5758527408973602
001190,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.496732234954834,0.21897746622562408,0.0003793498908635229,0.47637009445675577
001026,0.94,0.94,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.4866565465927124,0.2273857146501541,4.265892130206339e-05,0.5629324623457841
001089,0.8780487804878049,0.8780487804878049,1.0,1.0,0.972972972972973,0.972972972972973,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0.4774750769138336,0.2433032989501953,0.0010852687992155552,0.582333359139119
000720,0.2676056338028169,0.2676056338028169,1.0,1.0,0.3064516129032258,0.3064516129032258,656.1279296875,656.1279296875,1,1,0,0,0,0,0,0,0.42972296476364136,0.11409744620323181,0.0016403105109930038,0.6625261989890272
000195,0.5714285714285714,0.5714285714285714,1.0,1.0,0.7407407407407407,0.7407407407407407,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0.46424373984336853,0.12692442536354065,0.0012726534623652697,0.5167262748967133
000519,0.7590361445783133,0.7710843373493976,1.0,1.0,0.9545454545454546,0.9552238805970149,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0.46344104409217834,0.14178504049777985,0.0011178237618878484,0.6477063082337255
