image_name,evidence_mIoU,final_mIoU,evidence_Pd,final_Pd,evidence_Precision,final_Precision,evidence_FA_ppm,final_FA_ppm,evidence_FP_components,final_FP_components,residual_new_fp_pixels,residual_new_fp_components,residual_removed_fp_pixels,residual_removed_fp_components,residual_lost_target_pixels,residual_boundary_excess_pixels,delta_mean_target,delta_mean_boundary,delta_mean_far_bg,delta_positive_far_bg_ratio
001289,0.0,0.0,0.0,0.0,0.0,0.0,4867.5537109375,5340.576171875,41,41,31,26,0,0,0,0,0.32661327719688416,0.033099088817834854,0.020784718915820122,0.7345907297830375
001317,0.04201680672268908,0.03546099290780142,1.0,1.0,0.04504504504504504,0.03759398496240601,1617.431640625,1953.125,15,17,22,13,0,0,0,0,0.33242782950401306,0.0615118145942688,0.006607475224882364,0.6454976741320354
001309,0.48148148148148145,0.40625,1.0,1.0,0.5416666666666666,0.4482758620689655,167.8466796875,244.140625,7,8,5,5,0,0,0,0,0.4500280022621155,0.07772273570299149,0.00477942219004035,0.6656805189602305
001322,0.5,0.45454545454545453,1.0,1.0,0.5,0.45454545454545453,457.763671875,549.31640625,6,7,6,5,0,0,0,0,0.4870136082172394,0.08792047947645187,0.005050852429121733,0.627717852568554
000633,0.2765957446808511,0.2549019607843137,1.0,1.0,0.28888888888888886,0.2653061224489796,488.28125,549.31640625,1,1,4,4,0,0,0,0,0.47603005170822144,0.22854259610176086,0.0032907191198319197,0.6827173227013131
000673,0.25,0.22641509433962265,1.0,1.0,0.3,0.26666666666666666,427.24609375,503.5400390625,4,4,5,4,0,0,0,0,0.43874889612197876,0.0967520922422409,0.005522789899259806,0.6998801916932907
000536,0.37142857142857144,0.35135135135135137,1.0,1.0,0.37142857142857144,0.35135135135135137,671.38671875,732.421875,2,2,4,3,0,0,0,0,0.4887920618057251,0.1311323195695877,0.002782182302325964,0.6642163661581137
000550,0.7428571428571429,0.6933333333333334,1.0,1.0,0.7878787878787878,0.7323943661971831,213.623046875,289.9169921875,3,3,5,3,0,0,0,0,0.473097026348114,0.07354885339736938,0.0073884944431483746,0.6127775372626632
000740,0.7714285714285715,0.7534246575342466,1.0,1.0,0.9,0.859375,91.552734375,137.3291015625,0,0,3,3,0,0,0,3,0.47537270188331604,0.12153372913599014,0.001037138281390071,0.6328144497130023
000506,0.7079646017699115,0.6896551724137931,1.0,1.0,0.7272727272727273,0.7079646017699115,457.763671875,503.5400390625,0,0,3,3,0,0,0,2,0.4755358397960663,0.19439569115638733,0.0005661123432219028,0.5991341185233462
001176,0.0,0.0,0.0,0.0,0.0,0.0,762.939453125,823.974609375,3,3,4,3,0,0,0,0,0.20043522119522095,0.029063038527965546,0.0024767552968114614,0.6293433925230779
000906,0.640625,0.6259541984732825,1.0,1.0,0.6612903225806451,0.6456692913385826,640.869140625,686.6455078125,2,2,3,3,0,0,0,1,0.4843929708003998,0.2161642163991928,0.0066359275951981544,0.7146540743732331
000971,0.0,0.0,0.0,0.0,0.0,0.0,473.0224609375,518.798828125,2,2,3,3,0,0,0,0,0.23372308909893036,0.06806401908397675,0.0039389911107718945,0.691411528962207
000092,0.15517241379310345,0.14516129032258066,1.0,1.0,0.15517241379310345,0.14516129032258066,747.6806640625,808.7158203125,1,1,4,3,0,0,0,0,0.49469253420829773,0.18215736746788025,0.0012716492637991905,0.46876102529490266
000450,0.9386503067484663,0.9216867469879518,1.0,1.0,0.9386503067484663,0.9216867469879518,152.587890625,198.3642578125,0,0,3,3,0,0,0,3,0.49110347032546997,0.19298730790615082,0.0006381429266184568,0.604628903185313
000965,0.9036144578313253,0.8941176470588236,1.0,1.0,0.974025974025974,0.95,30.517578125,61.03515625,0,0,2,2,0,0,0,2,0.492753267288208,0.2497624009847641,0.0012128406669944525,0.5612680097396051
000440,0.9340659340659341,0.9293478260869565,1.0,1.0,0.9770114942528736,0.9661016949152542,61.03515625,91.552734375,0,0,2,2,0,0,0,2,0.48807698488235474,0.15166103839874268,0.0006715853232890368,0.6200170304024221
001036,0.8833333333333333,0.8548387096774194,1.0,1.0,0.8833333333333333,0.8548387096774194,106.8115234375,137.3291015625,0,0,2,2,0,0,0,2,0.49345219135284424,0.20904748141765594,0.0006252254243008792,0.43845546210677944
000011,0.8181818181818182,0.6428571428571429,1.0,1.0,0.8181818181818182,0.6428571428571429,30.517578125,76.2939453125,1,1,3,2,0,0,0,0,0.4962199032306671,0.1935127228498459,0.001591567532159388,0.5385727690864061
000908,0.7263157894736842,0.711340206185567,1.0,1.0,0.7666666666666667,0.75,320.4345703125,350.9521484375,1,1,2,2,0,0,0,0,0.48255008459091187,0.2019684910774231,0.002263760892674327,0.5750116405401211
000405,0.4523809523809524,0.4772727272727273,1.0,1.0,0.6551724137931034,0.6363636363636364,152.587890625,183.10546875,0,0,2,2,0,0,0,2,0.4619982838630676,0.12199734151363373,0.0007823572959750891,0.630860709184624
001102,0.33043478260869563,0.3305084745762712,1.0,1.0,0.3333333333333333,0.3305084745762712,1159.66796875,1205.4443359375,3,2,3,2,0,0,0,0,0.4654523432254791,0.1803400218486786,0.003472771728411317,0.6640738339969751
000737,0.6666666666666666,0.6493506493506493,1.0,1.0,0.8064516129032258,0.78125,183.10546875,213.623046875,0,0,2,2,0,0,0,2,0.48910656571388245,0.14592476189136505,0.00011190231452928856,0.6031976064700107
001300,0.8947368421052632,0.8717948717948718,1.0,1.0,0.9444444444444444,0.918918918918919,61.03515625,91.552734375,0,0,2,2,0,0,0,2,0.48523202538490295,0.13475823402404785,0.0012589910766109824,0.672054926150365
000482,0.9135802469135802,0.891566265060241,1.0,1.0,0.9866666666666667,0.961038961038961,15.2587890625,45.7763671875,0,0,2,2,0,0,0,2,0.4859984815120697,0.164371058344841,0.0005128963966853917,0.6395671519154148
000231,0.6626506024096386,0.6588235294117647,1.0,1.0,0.859375,0.835820895522388,137.3291015625,167.8466796875,0,0,2,2,0,0,0,2,0.4627418518066406,0.09718990325927734,0.0010180957615375519,0.556753299429035
000537,0.9,0.8181818181818182,1.0,1.0,0.9,0.8181818181818182,30.517578125,61.03515625,0,0,2,2,0,0,0,2,0.49001753330230713,0.17949742078781128,0.0006116904551163316,0.5585481536234562
000920,0.7361111111111112,0.7162162162162162,1.0,1.0,0.7571428571428571,0.7361111111111112,259.3994140625,289.9169921875,1,1,2,2,0,0,0,0,0.48124241828918457,0.191314697265625,0.001993008889257908,0.5828295042321644
001084,0.9878048780487805,0.9642857142857143,1.0,1.0,1.0,0.9759036144578314,0.0,30.517578125,0,0,2,2,0,0,0,2,0.4894716739654541,0.21346761286258698,0.0010976416524499655,0.4876504902569194
001060,0.9310344827586207,0.9166666666666666,1.0,1.0,1.0,0.9649122807017544,0.0,30.517578125,0,0,2,2,0,0,0,2,0.4860492944717407,0.20105455815792084,0.004545609932392836,0.6401903197309486
000685,0.46296296296296297,0.44642857142857145,1.0,1.0,0.6756756756756757,0.6410256410256411,183.10546875,213.623046875,0,0,2,2,0,0,0,2,0.4232570230960846,0.12770122289657593,0.0009012838709168136,0.6318927670703989
000528,1.0,0.8947368421052632,1.0,1.0,1.0,0.8947368421052632,0.0,30.517578125,0,0,2,2,0,0,0,2,0.47953784465789795,0.15126235783100128,0.0005174187244847417,0.5961286746023191
000492,0.896551724137931,0.8764044943820225,1.0,1.0,0.9512195121951219,0.9285714285714286,61.03515625,91.552734375,0,0,2,2,0,0,0,2,0.4735722839832306,0.1380937546491623,0.000755468150600791,0.6374315286377108
001008,0.9302325581395349,0.8888888888888888,1.0,1.0,0.9302325581395349,0.8888888888888888,45.7763671875,76.2939453125,0,0,2,2,0,0,0,2,0.4895598292350769,0.2288663685321808,0.0012056943960487843,0.5851261414641696
000122,0.45652173913043476,0.5,1.0,1.0,0.6774193548387096,0.6666666666666666,152.587890625,183.10546875,0,0,2,2,0,0,0,2,0.4479587972164154,0.10912344604730606,0.0013261832064017653,0.5933547496003849
000259,0.9057971014492754,0.9071428571428571,1.0,1.0,0.984251968503937,0.9694656488549618,30.517578125,61.03515625,0,0,2,2,0,0,0,2,0.4731496274471283,0.1293674111366272,0.0010452050482854247,0.6228199729755208
000230,0.625,0.6111111111111112,1.0,1.0,0.7857142857142857,0.7638888888888888,228.8818359375,259.3994140625,0,0,2,2,0,0,0,2,0.46692976355552673,0.11642506718635559,0.000371959205949679,0.5688746060965336
