image_name,threshold,IoU,nIoU,Pd,detected_targets,target_components,FA,FA_ppm,Precision,Recall,F1,FP_pixels,GT_pixels,FP_components,target_area,mean_prob_target,mean_prob_bg
XDU189,0.5,0.7631578947368421,0.7631578947368421,1.0,1,1,3.814697265625e-06,3.814697265625,0.9666666666666667,0.7837837837837838,0.8656716417910447,1,37,0,37,0.7849751114845276,4.1417215470573865e-06
XDU935,0.5,0.42,0.42,1.0,2,2,5.7220458984375e-05,57.220458984375,0.5833333333333334,0.6,0.591549295774648,15,35,1,35,0.5983336567878723,5.7232962717534974e-05
XDU672,0.5,0.5957446808510638,0.5957446808510638,1.0,2,2,3.814697265625e-05,38.14697265625,0.7368421052631579,0.7567567567567568,0.7466666666666667,10,37,1,37,0.7183971405029297,4.389380774227902e-05
XDU231,0.5,0.14057507987220447,0.14057507987220447,0.3333333333333333,1,3,3.814697265625e-06,3.814697265625,0.9777777777777777,0.14102564102564102,0.2464985994397759,1,312,0,312,0.14083071053028107,5.258270903141238e-06
XDU818,0.5,0.0,0.0,0.0,0,1,0.000110626220703125,110.626220703125,0.0,0.0,0.0,29,20,2,20,3.711423050845042e-05,0.00011813785386038944
XDU888,0.5,0.6428571428571429,0.6428571428571429,1.0,1,1,3.814697265625e-06,3.814697265625,0.9,0.6923076923076923,0.7826086956521738,1,13,1,13,0.7268282175064087,3.02978901345341e-06
XDU146,0.5,0.19932432432432431,0.19932432432432431,0.5,1,2,1.9073486328125e-05,19.073486328125,0.9725274725274725,0.20045300113250283,0.3323943661971831,5,883,2,883,0.19924724102020264,1.938707282533869e-05
XDU48,0.5,0.76,0.76,1.0,1,1,3.814697265625e-06,3.814697265625,0.95,0.7916666666666666,0.8636363636363635,1,24,0,24,0.7878281474113464,6.060491614334751e-06
XDU492,0.5,0.6917293233082706,0.6917293233082706,1.0,2,2,6.4849853515625e-05,64.849853515625,0.8440366972477065,0.7931034482758621,0.8177777777777778,17,116,0,116,0.7984267473220825,5.899380994378589e-05
XDU241,0.5,0.88,0.88,1.0,1,1,0.0,0.0,1.0,0.88,0.9361702127659575,0,25,0,25,0.8668128848075867,1.938537479873048e-06
XDU195,0.5,0.41333333333333333,0.41333333333333333,0.5,1,2,3.814697265625e-06,3.814697265625,0.96875,0.4189189189189189,0.5849056603773585,1,74,0,74,0.42838650941848755,3.4045347092614975e-06
XDU801,0.5,0.7142857142857143,0.7142857142857143,1.0,1,1,1.52587890625e-05,15.2587890625,0.8333333333333334,0.8333333333333334,0.8333333333333334,4,24,0,24,0.8240795135498047,1.6091964425868355e-05
XDU104,0.5,0.2807017543859649,0.2807017543859649,1.0,1,1,0.000148773193359375,148.773193359375,0.2909090909090909,0.8888888888888888,0.4383561643835616,39,18,2,18,0.8887737989425659,0.00014607330376747996
