image_name,teacher_student_absdiff_all_pixels,teacher_student_absdiff_target,teacher_student_absdiff_target_boundary,teacher_student_absdiff_far_background,teacher_student_absdiff_ohem_negatives,teacher_student_absdiff_topk_far_evidence,teacher_student_absdiff_detached_fp_components,teacher_rank_disagreement_topk_far,teacher_lower_than_student_on_high_far_rate,teacher_preserves_target_rate,per_checkpoint_variance_topk_far,per_checkpoint_variance_target,topk_far_pixels,ohem_negative_pixels,detached_fp_pixels,target_pixels,informative_topk_far
000024,9.143587869814995e-07,0.000368038813273112,0.0005398925061476742,4.0134686980163624e-08,3.2149686316232947e-06,3.2149686316232947e-06,nan,0.5011494252873563,0.8128834355828221,1.0,2.5435895811852462e-11,1.9713255265211652e-07,326,326,0,9,0
000028,5.18905441715369e-07,0.0007127722104390463,0.0002488209324153938,4.1471518501535535e-08,3.19429637293181e-06,3.19429637293181e-06,nan,0.3064935064935065,0.6871165644171779,1.0,7.411886917820121e-11,8.734420191558456e-07,326,326,0,9,0
000029,8.253404467856004e-08,0.00014100472132364908,6.029150483897621e-06,5.410835492643575e-08,3.030871168470676e-06,3.030871168470676e-06,nan,0.37810945273631846,0.6993865030674846,1.0,2.2199530863495727e-11,2.832558079448846e-08,326,326,0,9,0
000030,1.4474237567164943e-07,0.00044516722361246747,3.1336032690217754e-05,3.593398133198781e-08,4.179171875954025e-06,4.179171875954025e-06,nan,0.4364508393285371,0.7515337423312883,1.0,7.936443296495721e-11,6.994478233145351e-07,326,326,0,9,0
000031,1.1098865072905048e-06,0.00038127766715155705,0.00031887525258936353,3.225231219072662e-08,4.1729775277697344e-06,4.1729775277697344e-06,nan,0.4597156398104265,0.6923076923076923,1.0,1.1260549179954382e-10,7.809721878576031e-07,325,325,0,18,0
000033,5.043296636550695e-07,0.0011919140815734863,0.00020362956181023287,2.994526661087721e-08,8.952158919710423e-07,8.952158919710423e-07,nan,0.47663551401869164,0.99079754601227,1.0,6.320357313842598e-13,1.2913196529456488e-05,326,326,0,9,0
000034,3.3008909584414987e-07,0.00031176540586683486,0.0001050449378212171,1.2747581156171723e-07,8.755753123870728e-06,8.755753123870728e-06,nan,0.4694835680751174,0.8619631901840491,1.0,1.3342140032218992e-10,2.0270490540418172e-07,326,326,0,9,0
000035,6.590575727943958e-07,0.0036222669813368055,5.5600966382083585e-05,7.707489693511952e-08,3.2583490996263556e-06,3.2583490996263556e-06,nan,0.4364508393285371,0.6104294478527608,1.0,1.4288952631660908e-11,0.00028667424033932163,326,326,0,9,0
000037,1.0876274339134942e-07,0.0001950926250881619,1.0527465168743213e-05,6.613472382821017e-08,3.002544297228018e-06,3.002544297228018e-06,nan,0.36180904522613067,0.8926380368098159,1.0,1.2499565698563877e-11,5.975162586935312e-08,326,326,0,9,0
000039,2.0868659498860837e-07,0.0006928642590840658,3.811295919868598e-05,5.726705397059625e-08,4.659042346850198e-06,4.659042346850198e-06,nan,0.24258760107816713,0.8159509202453987,1.0,8.199766987053757e-11,1.3710669199479892e-06,326,326,0,9,0
000040,8.646742423887076e-07,0.00020142396291097006,0.0005218436698561045,4.089336047566532e-08,2.0381561712467396e-06,2.0381561712467396e-06,nan,0.458628841607565,0.7085889570552147,1.0,8.145704168841099e-12,5.025139573591433e-08,326,326,0,9,0
000042,1.1362393885236924e-07,0.0001573430167304145,4.986985993889692e-05,1.5965508750117136e-08,1.2090575366679705e-06,1.2090575366679705e-06,nan,0.5045871559633027,0.8957055214723927,1.0,1.0673182941804606e-11,3.445469075479145e-08,326,326,0,9,0
