image_name,base_mIoU,final_mIoU,base_Pd,final_Pd,base_Precision,final_Precision,base_FA_ppm,final_FA_ppm,base_FP_components,final_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,lost_target_count,boundary_excess_pixels,eta,scale_var_target_mean,scale_var_new_fp_mean,scale_var_far_bg_mean
001289,0.0,0.0,0.0,0.0,0.0,0.0,427.24609375,427.24609375,3,3,0,0,0,0,0,0,0,0.0,7.862188224898578e-20,nan,0.00016265797603409737
000906,0.6890756302521008,0.6890756302521008,1.0,1.0,0.7130434782608696,0.7130434782608696,503.5400390625,503.5400390625,2,2,0,0,0,0,0,0,0,0.0,0.014217204414308071,nan,0.0002158780989702791
000967,0.7,0.7,1.0,1.0,0.7623762376237624,0.7623762376237624,366.2109375,366.2109375,1,1,0,0,0,0,0,0,0,0.0,0.017641564831137657,nan,0.00023806840181350708
001255,0.9078947368421053,0.9078947368421053,1.0,1.0,0.9452054794520548,0.9452054794520548,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.027380649000406265,nan,3.0059274513938306e-11
000510,0.8028169014084507,0.8028169014084507,1.0,1.0,0.8142857142857143,0.8142857142857143,198.3642578125,198.3642578125,2,2,0,0,0,0,0,0,0,0.0,0.04014727845788002,nan,0.0006267224089242518
000720,0.23076923076923078,0.23076923076923078,1.0,1.0,0.2647058823529412,0.2647058823529412,762.939453125,762.939453125,1,1,0,0,0,0,0,0,0,0.0,0.050157997757196426,nan,0.0001343319017905742
