image_name,target_component_count,matched_target_prediction_component_count,near_fp_component_count,far_fp_component_count,target_leakage_pixels
001137,1,1,0,0,0
000345,1,1,0,0,0
000774,1,1,0,0,0
000593,1,1,0,0,0
001002,1,1,0,0,0
001024,1,1,0,0,0
001285,1,1,0,0,0
000649,2,2,0,0,0
000282,1,1,0,0,0
000037,1,1,0,0,0
001150,1,1,0,0,0
001124,1,1,0,0,0
001185,2,2,0,0,0
000718,2,2,0,0,0
000968,1,1,0,0,0
001216,1,1,0,0,0
000494,2,2,0,0,0
001015,1,1,0,0,0
001186,2,2,0,0,0
000197,2,2,0,0,0
000811,2,2,0,0,0
000601,1,1,0,0,0
001040,1,1,0,0,0
000735,1,1,0,0,0
001029,1,1,0,0,0
000623,1,1,0,0,0
000436,1,1,0,0,0
001242,4,4,0,0,0
000813,2,2,0,0,0
000493,2,2,0,0,0
001053,1,1,0,0,0
000410,2,2,0,0,0
000936,1,1,0,0,0
000473,1,1,0,0,0
000478,2,2,0,0,0
000458,1,1,0,0,0
000709,2,2,0,0,0
001307,1,1,0,0,0
000781,2,2,0,0,0
001023,1,1,0,0,0
001004,1,1,0,0,0
000359,1,1,0,0,0
000287,1,1,0,0,0
000482,1,1,0,0,0
000941,1,1,0,0,0
000067,1,1,0,0,0
000284,1,1,0,0,0
000447,1,1,0,0,0
000894,1,1,0,0,0
000163,2,2,0,0,0
000059,4,4,0,0,0
001222,1,1,0,0,0
000945,1,1,0,0,0
000446,1,1,0,0,0
000193,2,2,0,0,0
000746,2,2,0,0,0
000733,2,2,0,0,0
000621,2,2,0,0,0
001131,4,4,0,0,0
000085,1,1,0,0,0
000064,1,1,0,0,0
000312,1,1,0,0,0
000213,2,2,0,0,0
001297,1,1,0,0,0
001039,1,1,0,0,0
000066,1,1,0,0,0
000002,1,1,0,0,0
000843,2,2,0,0,0
000659,2,2,0,0,0
000298,2,2,0,0,0
000227,2,1,0,0,0
000951,1,1,0,0,0
000299,1,1,0,0,0
000937,1,1,0,0,0
000547,1,1,0,0,0
000948,1,1,0,0,0
000859,2,2,0,0,0
000058,1,1,0,0,0
000422,1,1,0,0,0
001140,1,1,0,0,0
000873,1,1,0,0,0
001249,1,1,0,0,0
000822,2,2,0,0,0
000745,2,2,0,0,0
000609,1,1,0,0,0
000881,1,1,0,0,0
001271,1,1,0,0,0
000851,2,2,0,0,0
000848,2,2,0,0,0
001016,1,1,0,0,0
001100,1,1,0,0,0
000004,1,1,0,0,0
