image_name,threshold,IoU,nIoU,Pd,detected_targets,target_components,FA,FA_ppm,Precision,Recall,F1,FP_pixels,GT_pixels,FP_components,target_area,mean_prob_target,mean_prob_bg
Misc_70,0.5,0.5588235294117647,0.5588235294117647,1.0,1,1,3.5361512529762604e-05,35.36151252976261,0.8636363636363636,0.6129032258064516,0.7169811320754716,3,31,0,31,0.5934580564498901,3.755827492568642e-05
Misc_214,0.5,0.8780487804878049,0.8780487804878049,1.0,1,1,0.0001374570446735395,137.4570446735395,0.9310344827586207,0.9391304347826087,0.935064935064935,8,115,0,115,0.941676914691925,0.00013912930444348603
Misc_96,0.5,0.5695364238410596,0.5695364238410596,1.0,1,1,0.0007032686006553185,703.2686006553186,0.6615384615384615,0.8037383177570093,0.7257383966244726,44,107,1,107,0.7897912263870239,0.0006839638226665556
Misc_311,0.5,0.6842105263157895,0.6842105263157895,1.0,1,1,1.815013794104835e-05,18.150137941048353,0.9285714285714286,0.7222222222222222,0.8125000000000001,1,18,0,18,0.7227979898452759,1.309305207541911e-05
Misc_158,0.5,0.06363636363636363,0.06363636363636363,1.0,1,1,0.0016202258189735195,1620.2258189735196,0.06796116504854369,0.5,0.11965811965811966,96,14,1,14,0.5375508666038513,0.0016680507687851787
Misc_127,0.5,0.5714285714285714,0.5714285714285714,1.0,1,1,0.0,0.0,1.0,0.5714285714285714,0.7272727272727273,0,21,0,21,0.5386375784873962,2.5309603302048345e-07
Misc_323,0.5,0.4666666666666667,0.4666666666666667,1.0,1,1,0.0,0.0,1.0,0.4666666666666667,0.6363636363636364,0,15,0,15,0.49932846426963806,9.527493034511281e-07
Misc_54,0.5,0.8421052631578947,0.8421052631578947,1.0,1,1,0.0,0.0,1.0,0.8421052631578947,0.9142857142857143,0,38,0,38,0.8124686479568481,1.9227277334721293e-06
Misc_396,0.5,0.0,0.0,0.0,0,1,0.0009641887713929384,964.1887713929384,0.0,0.0,0.0,92,45,2,45,4.642197018256411e-05,0.001361207920126617
Misc_6,0.5,0.3888888888888889,0.3888888888888889,1.0,1,1,0.0006110556358704562,611.0556358704562,0.4057971014492754,0.9032258064516129,0.5599999999999999,41,31,1,31,0.8850694298744202,0.0006108504021540284
Misc_276,0.5,0.5671641791044776,0.5671641791044776,1.0,3,3,0.0004597321765371558,459.7321765371558,0.6608695652173913,0.8,0.7238095238095238,39,95,2,95,0.7795539498329163,0.00047441161586903036
Misc_172,0.5,0.5757575757575758,0.5757575757575758,1.0,2,2,0.0,0.0,1.0,0.5757575757575758,0.7307692307692308,0,33,0,33,0.5961546301841736,2.151710134512541e-07
Misc_153,0.5,0.6666666666666666,0.6666666666666666,1.0,1,1,1.83766102504732e-05,18.3766102504732,0.9655172413793104,0.6829268292682927,0.8000000000000002,1,41,0,41,0.653312623500824,2.0072353436262347e-05
Misc_138,0.5,0.8205128205128205,0.8205128205128205,1.0,1,1,0.0,0.0,1.0,0.8205128205128205,0.9014084507042254,0,39,0,39,0.7917236685752869,9.26535085454816e-06
Misc_295,0.5,0.4375,0.4375,1.0,1,1,0.0,0.0,1.0,0.4375,0.6086956521739131,0,32,0,32,0.4488335847854614,7.398331547392445e-08
Misc_139,0.5,1.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1.0,0,15,0,15,0.9763081073760986,7.442185534500823e-08
Misc_179,0.5,0.5555555555555556,0.5555555555555556,1.0,1,1,0.0,0.0,1.0,0.5555555555555556,0.7142857142857143,0,18,0,18,0.5592753291130066,1.545194976415587e-07
Misc_79,0.5,0.6818181818181818,0.6818181818181818,1.0,1,1,3.6132389073565546e-05,36.13238907356555,0.7894736842105263,0.8333333333333334,0.8108108108108109,4,18,0,18,0.8683251142501831,3.6245597584638745e-05
Misc_386,0.5,0.746268656716418,0.746268656716418,1.0,1,1,0.00010033444816053512,100.33444816053512,0.847457627118644,0.8620689655172413,0.8547008547008546,9,58,1,58,0.856600284576416,9.50024914345704e-05
Misc_58,0.5,0.6727272727272727,0.6727272727272727,1.0,1,1,7.215007215007215e-05,72.15007215007215,0.8604651162790697,0.7551020408163265,0.8043478260869564,6,49,0,49,0.7562256455421448,8.036453800741583e-05
Misc_171,0.5,0.042682926829268296,0.042682926829268296,1.0,1,1,0.0021749238776642816,2174.9238776642815,0.046052631578947366,0.3684210526315789,0.08187134502923976,145,19,2,19,0.350923627614975,0.0022370764054358006
Misc_303,0.5,0.7045454545454546,0.7045454545454546,1.0,2,2,1.35666802333469e-05,13.566680233346899,0.9841269841269841,0.7126436781609196,0.8266666666666668,1,87,0,87,0.7139895558357239,1.5998852177290246e-05
