image_name,base_mIoU,final_mIoU,base_Pd,final_Pd,base_Precision,final_Precision,base_FA_ppm,final_FA_ppm,base_FP_components,final_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,lost_target_count,boundary_excess_pixels,eta,scale_var_target_mean,scale_var_new_fp_mean,scale_var_far_bg_mean
000541,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.07523441314697266,nan,5.357705652828809e-14
000832,0.7727272727272727,0.7727272727272727,1.0,1.0,0.8947368421052632,0.8947368421052632,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.0988505482673645,nan,3.081155773229649e-12
000710,0.7678571428571429,0.7678571428571429,1.0,1.0,0.9148936170212766,0.9148936170212766,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.0892929956316948,nan,4.826571000510205e-13
000316,0.9803921568627451,0.9803921568627451,1.0,1.0,0.9803921568627451,0.9803921568627451,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.03366876766085625,nan,2.0755011360414468e-15
001142,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.13190147280693054,nan,3.515242847038102e-16
000409,0.717948717948718,0.717948717948718,1.0,1.0,0.8,0.8,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0,0.0,0.11200268566608429,nan,2.0279612001185623e-15
000226,0.8133333333333334,0.8133333333333334,1.0,1.0,0.9242424242424242,0.9242424242424242,76.2939453125,76.2939453125,0,0,0,0,0,0,0,0,0,0.0,0.028377803042531013,nan,8.471566140645995e-15
001133,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.13589780032634735,nan,9.48624623110103e-17
001255,0.9078947368421053,0.9078947368421053,1.0,1.0,0.9452054794520548,0.9452054794520548,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.027380649000406265,nan,3.0059274513938306e-11
000558,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.02408534474670887,nan,2.8726213963293666e-15
001000,0.9056603773584906,0.9056603773584906,1.0,1.0,0.9795918367346939,0.9795918367346939,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0,0.0,0.07684633135795593,nan,9.748296179168392e-07
000763,0.7058823529411765,0.7058823529411765,1.0,1.0,0.8,0.8,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.1553584784269333,nan,8.144978696491764e-14
000385,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.18900978565216064,nan,9.297509322766379e-14
001319,0.9428571428571428,0.9428571428571428,1.0,1.0,0.9705882352941176,0.9705882352941176,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0,0.0,0.08154302835464478,nan,2.3859143590129143e-15
