image_name,base_mIoU,final_mIoU,base_Pd,final_Pd,base_Precision,final_Precision,base_FA_ppm,final_FA_ppm,base_FP_components,final_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,lost_target_count,boundary_excess_pixels,eta,scale_var_target_mean,scale_var_new_fp_mean,scale_var_far_bg_mean
000759,0.625,0.625,1.0,1.0,0.7692307692307693,0.7692307692307693,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.0493774376809597,nan,7.133358438443302e-14
001149,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.17985905706882477,nan,5.38393895438416e-12
001044,0.8297872340425532,0.8297872340425532,1.0,1.0,0.8478260869565217,0.8478260869565217,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0,0.0,0.007864748127758503,nan,5.824050843950392e-16
000665,0.7441860465116279,0.7441860465116279,1.0,1.0,0.8648648648648649,0.8648648648648649,76.2939453125,76.2939453125,0,0,0,0,0,0,0,0,0,0.0,0.056586917489767075,nan,1.996127736844308e-13
000107,0.45714285714285713,0.45714285714285713,0.5,0.5,0.8,0.8,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.005526948720216751,nan,3.1225164869117666e-14
001322,0.967741935483871,0.967741935483871,1.0,1.0,0.967741935483871,0.967741935483871,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0,0.0,0.057491615414619446,nan,4.2221768073967547e-13
001210,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.21227705478668213,nan,1.1221904143237336e-14
000448,0.9253731343283582,0.9253731343283582,1.0,1.0,0.9253731343283582,0.9253731343283582,76.2939453125,76.2939453125,0,0,0,0,0,0,0,0,0,0.0,0.013478417880833149,nan,3.100499891550701e-12
000260,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0055134911090135574,nan,1.1852053457314226e-15
000579,0.875,0.875,1.0,1.0,0.875,0.875,122.0703125,122.0703125,1,1,0,0,0,0,0,0,0,0.0,0.010459759272634983,nan,1.832665574852399e-09
000996,0.9154929577464789,0.9154929577464789,1.0,1.0,0.9558823529411765,0.9558823529411765,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.030012747272849083,nan,5.417175391363236e-16
001246,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.20499758422374725,nan,8.792103330101941e-12
000698,0.4166666666666667,0.4166666666666667,0.5,0.5,0.9090909090909091,0.9090909090909091,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0,0.0,0.023042302578687668,nan,2.0471763119336156e-13
