image_name,ohem_mIoU,cga_mIoU,ohem_Pd,cga_Pd,ohem_Precision,cga_Precision,ohem_FA_ppm,cga_FA_ppm,ohem_FP_components,cga_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,boundary_excess_pixels,center_peak_prob,center_peak_hit_rate,scale_acc_on_target,local_peak_false_alarm_count,boundary_prob_mean
001289,0.0,0.0,0.0,0.0,0.0,0.0,427.24609375,244.140625,3,1,0,0,12,4,0,0,4.478909249883145e-05,0.0,0.6315789222717285,2,0.0004365883069112897
000906,0.6890756302521008,0.6890756302521008,1.0,1.0,0.7130434782608696,0.7130434782608696,503.5400390625,503.5400390625,2,2,1,1,1,1,1,0,0.3898620307445526,0.0,1.0,2,0.6113408207893372
000967,0.7,0.7090909090909091,1.0,1.0,0.7623762376237624,0.7647058823529411,366.2109375,366.2109375,1,1,1,1,1,1,0,0,0.4208467900753021,0.0,1.0,1,0.5191684365272522
001255,0.9078947368421053,0.9078947368421053,1.0,1.0,0.9452054794520548,0.9452054794520548,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0.7305284142494202,1.0,1.0,0,0.7268993258476257
000510,0.8028169014084507,0.9047619047619048,1.0,1.0,0.8142857142857143,0.9193548387096774,198.3642578125,76.2939453125,2,0,2,2,10,2,0,2,0.5865779519081116,1.0,1.0,0,0.7021006941795349
000720,0.23076923076923078,0.21794871794871795,1.0,1.0,0.2647058823529412,0.2537313432835821,762.939453125,762.939453125,1,1,1,1,1,1,1,0,0.699842095375061,1.0,0.0,1,0.47644102573394775
