image_id,bg_reconstruction_error,target_residual_mean,background_residual_mean,target_residual_bg_ratio,candidate_pixels,far_pixels,ohem_budget,candidate_to_budget_ratio,target_leakage_pixels,flat_candidate_ratio,residual_auroc_target_vs_far
001137,0.12445089221000671,0.84253990650177,0.12445088475942612,6.770059595240882,0,65247,652,0.0,0,0.0,0.9905056423611112
000345,0.2520778477191925,1.769696831703186,0.2520779073238373,7.020436064750836,0,65327,653,0.0,0,0.0,0.996044921875
000774,0.10187741369009018,0.7919753193855286,0.10187740623950958,7.773807251468763,0,65304,653,0.0,0,0.0,0.9603177584134616
000593,0.7823335528373718,3.073387861251831,0.7823335528373718,3.928487855474497,0,64949,649,0.0,0,0.0,0.9660724577356558
001002,0.3458539843559265,1.293368935585022,0.3458539843559265,3.7396386743776397,0,64944,649,0.0,0,0.0,0.9417317708333334
001024,0.3375493586063385,0.9623594880104065,0.3375493288040161,2.8510188167761408,0,64924,649,0.0,0,0.0,0.8780803274601063
001285,0.496859610080719,1.4765604734420776,0.4968595802783966,2.971786259237957,0,65135,651,0.0,0,0.0,0.9134114583333334
000649,0.49666827917099,1.6631184816360474,0.49666827917099,3.348549829701282,0,64829,648,0.0,0,0.0,0.9370256696428572
000282,0.429156631231308,1.8878847360610962,0.4291566014289856,4.399057895823822,0,65049,650,0.0,0,0.0,0.9807423558728449
000037,0.1883726716041565,0.9909263253211975,0.1883726716041565,5.260456927656232,0,65247,652,0.0,0,0.0,0.9763454861111112
001150,0.09611061960458755,0.8823176026344299,0.09611061960458755,9.180230095949929,0,65247,652,0.0,0,0.0,0.9788411458333334
001124,0.12817765772342682,0.9192869663238525,0.128177672624588,7.171974240913998,0,65247,652,0.0,0,0.0,0.971435546875
001185,0.10261305421590805,0.9210538864135742,0.10261305421590805,8.975991343904308,0,64958,649,0.0,0,0.0,0.9869249131944444
000718,0.5882366299629211,2.042849063873291,0.5882365703582764,3.4728358738883847,0,64752,647,0.0,0,0.0,0.8972865513392857
000968,0.41237586736679077,1.3330870866775513,0.41237589716911316,3.2326988454683114,0,64970,649,0.0,0,0.0,0.9494927853954082
001216,0.16242234408855438,0.8288793563842773,0.16242234408855438,5.10323478604867,0,65247,652,0.0,0,0.0,0.9564344618055556
000494,0.3612886965274811,1.2066078186035156,0.36128872632980347,3.339732824937527,0,64347,643,0.0,0,0.0,0.9284264271653543
001015,0.1762274205684662,1.0465983152389526,0.17622743546962738,5.93890680216664,0,64870,648,0.0,0,0.0,0.9641580020680147
001186,0.08719485253095627,0.896657407283783,0.08719485253095627,10.28337546606261,0,64958,649,0.0,0,0.0,0.9966091579861112
000197,0.21094177663326263,0.7579735517501831,0.21094179153442383,3.5932829916564377,0,64893,648,0.0,0,0.0,0.8226449148995536
000811,0.1865452080965042,0.881860613822937,0.1865452229976654,4.727328846335419,0,64887,648,0.0,0,0.0,0.9205465877757353
000601,0.6119277477264404,4.081114292144775,0.6119277477264404,6.669274775180189,0,65118,651,0.0,0,0.0,0.9887232287176724
001040,0.27170896530151367,1.4082143306732178,0.27170899510383606,5.182803499512616,0,64864,648,0.0,0,0.0,0.9640077533143939
000735,0.3065604269504547,1.2117139101028442,0.3065604269504547,3.9526103292473476,0,65141,651,0.0,0,0.0,0.9158974924395161
001029,0.12694555521011353,1.2701845169067383,0.12694555521011353,10.005742342096157,0,64769,647,0.0,0,0.0,0.9911921574519231
000623,0.43416154384613037,1.5724494457244873,0.43416154384613037,3.6218072927292093,0,65213,652,0.0,0,0.0,0.9443033854166667
000436,0.21075089275836945,1.0245846509933472,0.21075090765953064,4.861590691929877,0,64967,649,0.0,0,0.0,0.9613037109375
001242,0.14795711636543274,0.8832488059997559,0.14795710146427155,5.969627664090469,0,64380,643,0.0,0,0.0,0.9827473958333334
000813,0.18095873296260834,1.1906253099441528,0.18095873296260834,6.579540486670918,0,64976,649,0.0,0,0.0,0.8829752604166666
000493,0.3039471209049225,0.823533833026886,0.3039471209049225,2.709464167895491,0,64336,643,0.0,0,0.0,0.8546519559972426
001053,0.5070286989212036,1.4185317754745483,0.5070286989212036,2.7977346814741146,0,64957,649,0.0,0,0.0,0.9147893732244318
000410,0.4726954400539398,1.8139780759811401,0.4726954996585846,3.837519242919233,0,64882,648,0.0,0,0.0,0.9228413899739584
000936,0.3002079725265503,1.069172978401184,0.3002079725265503,3.561440988402221,0,64958,649,0.0,0,0.0,0.9154842601102942
000473,0.2884570360183716,1.5130882263183594,0.2884570360183716,5.2454543914192895,0,64980,649,0.0,0,0.0,0.9881920447716346
000478,0.3306114077568054,0.9803580045700073,0.33061137795448303,2.9652881598799006,0,64363,643,0.0,0,0.0,0.8918685364208633
000458,0.24975235760211945,0.9421836733818054,0.24975235760211945,3.772471589168333,0,64923,649,0.0,0,0.0,0.9320793704710145
000709,0.4256708323955536,1.9190733432769775,0.4256708025932312,4.5083508936619126,0,64913,649,0.0,0,0.0,0.9069542518028846
001307,0.38551777601242065,1.3918378353118896,0.38551774621009827,3.610308083076856,0,65137,651,0.0,0,0.0,0.95233154296875
000781,0.18736498057842255,0.7725843787193298,0.18736498057842255,4.123419308849771,0,64864,648,0.0,0,0.0,0.907958984375
001023,0.40284109115600586,1.1990306377410889,0.40284112095832825,2.9764355607210273,0,64939,649,0.0,0,0.0,0.9323412024456522
001004,0.31607890129089355,0.7534496784210205,0.31607890129089355,2.3837392351842115,0,64834,648,0.0,0,0.0,0.8541796875
000359,0.20763514935970306,1.812644600868225,0.20763514935970306,8.729950619911829,0,65251,652,0.0,0,0.0,0.996533203125
000287,0.4365157186985016,0.5462746024131775,0.436515748500824,1.2514430562684415,0,64883,648,0.0,0,0.0,0.6276041666666666
000482,0.29680803418159485,0.9639140963554382,0.29680803418159485,3.2476010934585773,0,64869,648,0.0,0,0.0,0.9290771484375
000941,0.315992534160614,1.42429518699646,0.315992534160614,4.507369741439883,0,64916,649,0.0,0,0.0,0.9776991547131147
000067,0.18443579971790314,0.8925707340240479,0.18443579971790314,4.839465740323982,0,65247,652,0.0,0,0.0,0.9566514756944444
000284,0.29070794582366943,0.6630199551582336,0.2907079756259918,2.2807078262319056,0,64869,648,0.0,0,0.0,0.807275390625
000447,0.21434034407138824,0.9840223789215088,0.21434034407138824,4.5909340268380365,0,64883,648,0.0,0,0.0,0.9555324978298612
000894,0.2302720844745636,1.3481497764587402,0.2302720844745636,5.854594922067768,0,64886,648,0.0,0,0.0,0.9730398995535714
000163,0.2922627031803131,1.3938804864883423,0.2922627031803131,4.769272545968275,0,64820,648,0.0,0,0.0,0.9664362127130682
000059,0.1343328356742859,0.9209394454956055,0.1343328356742859,6.855654024371143,0,64380,643,0.0,0,0.0,0.9826592339409722
001222,0.12126383930444717,0.880561113357544,0.12126384675502777,7.261530430717881,0,65247,652,0.0,0,0.0,0.9665798611111112
000945,0.34137478470802307,1.8189361095428467,0.3413747549057007,5.328267786073691,0,64979,649,0.0,0,0.0,0.9925693609775641
