image_name,p_tce_mean,p_tce_std,p_tce_min,p_tce_max,target_p_tce_mean,background_p_tce_mean,far_background_p_tce_mean,teacher_student_absdiff_mean,valid_teacher
001137,0.00013743680028710514,0.01169747393578291,4.099733485367959e-15,0.9999909400939941,0.9982385635375977,3.4967587225764873e-07,1.4749738319608241e-08,2.3308977858960134e-07,1
000345,7.637625822098926e-05,0.008730732835829258,7.812765314209528e-22,1.0,0.999589741230011,1.1361360208184124e-07,5.6169156437135825e-08,1.0574257203188608e-07,1
000774,0.0002523425209801644,0.015430855564773083,3.459036056764022e-17,0.9999618530273438,0.9981984496116638,5.434641207102686e-05,1.0974475372904635e-07,5.013974714529468e-06,1
000593,0.0009509029914624989,0.030572082847356796,5.880387356861522e-26,1.0,0.9995103478431702,2.0591740394593216e-05,9.573586794431321e-06,2.3505532226408832e-05,1
001002,0.0008148530032485723,0.027987662702798843,7.630052109351424e-18,0.9998304843902588,0.9545078873634338,7.211299089249223e-05,4.756440716846555e-07,1.2030727702949662e-05,1
001024,0.0006769396713934839,0.025450462475419044,1.909804162538263e-19,0.9998482465744019,0.9156712293624878,2.0268753360142e-05,1.205850850283241e-07,7.5536640906648245e-06,1
001285,0.00032830951386131346,0.017933255061507225,1.621247249406192e-27,0.9999907612800598,0.8973878026008606,4.0768580220174044e-05,5.1786923194185874e-08,4.037936832901323e-06,1
000649,0.0006433129892684519,0.02471858076751232,7.90078832384003e-18,0.9999213218688965,0.9066486358642578,0.0001591953623574227,9.650104715319685e-08,1.0001894224842545e-05,1
000282,0.0008996812393888831,0.02935839258134365,1.6727824711731623e-16,0.9999969005584717,0.9738583564758301,3.78407166863326e-05,1.1350478956728693e-07,1.6317982954205945e-05,1
000037,0.00013743076124228537,0.011712411418557167,3.8661266028861e-12,0.999981164932251,0.9995276927947998,1.6652892043111933e-07,1.461332033159124e-07,1.087627481410891e-07,1
001150,0.00013746635522693396,0.011707945726811886,1.7305836871503964e-14,0.9999827146530151,0.999141275882721,2.5524465741000313e-07,3.07597360915679e-08,2.3791234582404286e-07,1
001124,0.00013966097321826965,0.011720637790858746,7.459463277105505e-13,0.9999825954437256,0.9997503757476807,2.3664770196774043e-06,1.614887139567145e-07,2.1187527181609767e-06,1
001185,0.0002752944710664451,0.01656385138630867,2.20650390320154e-11,0.9999672174453735,0.9995889663696289,7.493770795008459e-07,1.4469452480625478e-07,4.100963337805297e-07,1
000718,0.0008707674569450319,0.0282403826713562,4.4403338508488264e-16,0.9999752044677734,0.8674345016479492,0.00012966225040145218,2.5659642233222257e-07,7.010433910181746e-05,1
000968,0.0007586453575640917,0.027113504707813263,5.781821089922742e-17,0.9998843669891357,0.9632558226585388,3.846644176519476e-05,3.9163117548923765e-07,6.476070666394662e-06,1
001216,0.0001374132261844352,0.011714478023350239,1.391258527654038e-13,0.9999784231185913,0.9997036457061768,1.2483855016398593e-07,9.556168123481257e-08,6.929553109102926e-08,1
000494,0.0020479466766119003,0.044634900987148285,3.8052370173270245e-16,0.9999994039535522,0.9677488207817078,0.00017291429685428739,1.2317807431827532e-06,2.0367397155496292e-05,1
001015,0.001044024364091456,0.031714972108602524,1.5411210264281584e-17,0.999821662902832,0.9558272361755371,5.2314568165456876e-05,1.4360975342242455e-07,1.4675013517262414e-05,1
001186,0.0002747465332504362,0.016550585627555847,1.3694444883638468e-11,0.9999821186065674,0.9987914562225342,4.204200081403542e-07,1.7859954937193834e-07,4.1151338336931076e-07,1
000197,0.0008949014591053128,0.02894081175327301,2.740824763802492e-15,0.9997009634971619,0.8629384636878967,0.0001576620852574706,9.193026784259928e-08,3.053513137274422e-05,1
000811,0.000494175183121115,0.02130264788866043,1.4193231008888252e-12,0.999912440776825,0.8252878785133362,6.605110684176907e-05,3.244483792741448e-08,3.784069849643856e-05,1
000601,0.0008878845255821943,0.029643774032592773,5.022135514876849e-31,1.0,0.9959699511528015,6.447043233492877e-06,1.986834377021296e-06,4.751592769025592e-06,1
001040,0.0009697630885057151,0.030604097992181778,9.40214300627917e-16,0.9998409748077393,0.9442169666290283,1.8880075003835373e-05,1.4081435040225188e-07,9.537452569929883e-06,1
000735,0.0004450413107406348,0.020182732492685318,1.5653994391510798e-17,0.9995046257972717,0.8183642029762268,5.7964076404459774e-05,1.8800868417656602e-07,4.1834147850750014e-05,1
001029,0.0011831509182229638,0.03374183177947998,2.6637702229128826e-17,0.9998922348022461,0.9654226303100586,3.415975152165629e-05,1.4175878959576949e-07,1.2604274161276408e-05,1
000623,0.00025568724959157407,0.01586354523897171,1.1402942824394603e-16,0.9999642968177795,0.9883621335029602,2.9475908377207816e-05,2.4294277523040364e-07,1.3111736052451306e-06,1
000436,0.0008770289714448154,0.029332222416996956,2.1638172645149328e-16,0.9999982118606567,0.9778613448143005,1.1622415513556916e-05,1.424146489625855e-07,5.949447768216487e-06,1
001242,0.0005482690175995231,0.023360371589660645,1.5556753801826417e-11,0.9999769330024719,0.9969521760940552,6.271670258684026e-07,1.441867567564259e-07,1.0950139994747587e-06,1
000813,0.000557195395231247,0.022413136437535286,1.8416981806788912e-13,0.9998253583908081,0.7832653522491455,0.0001270047068828717,5.2379082404740984e-08,4.678879486164078e-05,1
000493,0.0019185257842764258,0.04293670877814293,1.0341764066206655e-16,0.9999997615814209,0.893628716468811,6.420518911909312e-05,4.4065899373890716e-07,3.9889120671432465e-05,1
001053,0.0006656869081780314,0.025582244619727135,1.605978025532532e-14,0.9999210238456726,0.9723528027534485,1.2870872524217702e-05,1.6394189117363567e-07,7.514065600844333e-06,1
000410,0.00036517574335448444,0.019053133204579353,9.866017258033314e-18,0.9999997615814209,0.9957779049873352,5.11167343120178e-07,1.361645729502925e-07,1.4846679050606326e-06,1
000936,0.0005801086663268507,0.023425988852977753,4.545776743151875e-19,0.9998434782028198,0.9890056848526001,6.704856059513986e-05,1.012667638633502e-07,9.611512723495252e-06,1
000473,0.0008716890588402748,0.029080044478178024,1.2164308708112273e-19,0.9999977350234985,0.9968621134757996,8.078590326476842e-05,2.3332702880907163e-07,1.4564637240255252e-05,1
000478,0.0021584131754934788,0.04570311680436134,1.456919830334548e-18,0.9999974370002747,0.9533605575561523,0.0001366521028103307,1.2877673327693628e-07,1.9998195057269186e-05,1
000458,0.001078263157978654,0.03236597031354904,4.148595652956397e-17,0.9999991655349731,0.9888538718223572,3.7180994695518166e-05,2.0024265268148156e-07,1.4674028534500394e-05,1
000709,0.0007537351339124143,0.02677120268344879,2.3934810297519973e-20,0.9999573230743408,0.8788304924964905,5.646577483275905e-05,1.0897763758066503e-07,1.650123522267677e-05,1
001307,0.0002797302440740168,0.016448920592665672,4.793658062328804e-22,0.9999862909317017,0.8678073883056641,1.4901012946211267e-05,9.18039546604632e-08,9.934121408150531e-06,1
000781,0.0004985369741916656,0.02125566080212593,1.4362825165314952e-12,0.9999699592590332,0.7920243144035339,0.00016021616465877742,3.249735414101451e-08,3.661706068669446e-05,1
001023,0.0007077780901454389,0.02623249776661396,2.0912642934583962e-17,0.9998531341552734,0.987460196018219,1.468596383347176e-05,1.1499815144588865e-07,6.765971647837432e-06,1
001004,0.0011282810010015965,0.033041201531887054,1.5123445244413867e-19,0.9997941255569458,0.9482675194740295,4.312433156883344e-05,2.1808672556744568e-07,1.0562917850620579e-05,1
000359,7.634347275597975e-05,0.008732969872653484,6.836588826132129e-19,1.0,0.9998470544815063,6.119782369751192e-08,5.791862989212859e-08,5.036273975633776e-08,1
000287,0.0011470786994323134,0.033275820314884186,3.2092812057209295e-15,0.9999996423721313,0.965099573135376,8.68843708303757e-05,6.783962902545682e-08,2.128266351064667e-05,1
000482,0.0012446423061192036,0.03440205752849579,1.226351109344823e-16,0.9999995231628418,0.9496382474899292,8.55203325045295e-05,9.231802096110187e-07,2.4157918232958764e-05,1
000941,0.0009016268304549158,0.02969459630548954,6.829979032652371e-18,0.999904990196228,0.9532055258750916,1.4409641153179109e-05,1.529107152009601e-07,4.7165849537122995e-06,1
000067,0.00013729989586863667,0.011706766672432423,3.538376460322096e-14,0.9999814033508301,0.9990429282188416,1.0222167645679292e-07,2.179881519737137e-08,9.390679878151786e-08,1
000284,0.0010915999300777912,0.03255069628357887,5.219078207802097e-16,0.9999982714653015,0.8722802400588989,2.6837349651032127e-05,9.184781646354168e-08,1.5857343896641396e-05,1
000447,0.0011206697672605515,0.03291483223438263,2.874967995230616e-16,0.9999994039535522,0.9790066480636597,4.515063847065903e-05,1.307113137727356e-07,1.1197797903150786e-05,1
000894,0.0009758692467585206,0.030623821541666985,7.120288381253989e-14,0.9998739957809448,0.9288721680641174,8.30209901323542e-05,9.70542188838408e-08,1.1339325283188373e-05,1
000163,0.0007106279954314232,0.02609001100063324,1.818016249086822e-15,0.9998599290847778,0.8968105912208557,0.0001085941112251021,7.469905938251031e-08,2.1370608010329306e-05,1
000059,0.0005502355634234846,0.023408832028508186,1.0915119502685755e-11,0.9999725818634033,0.999028742313385,1.453541699447669e-06,4.1713349219207885e-08,1.2629277534870198e-06,1
001222,0.00013779563596472144,0.011704406701028347,3.121913144665811e-11,0.9999688267707825,0.9988203048706055,6.286336997618491e-07,1.3654521069383918e-07,2.113659860469852e-07,1
000945,0.0006003194721415639,0.024120325222611427,2.3771887020463333e-16,0.9997819662094116,0.9818190336227417,1.6055653759394772e-05,3.7822630361006304e-07,6.498492894024821e-06,1
000446,0.0008947632159106433,0.029675180092453957,3.0981305380622354e-17,0.9999985098838806,0.9970061182975769,1.2414067896315828e-05,5.407232492871117e-07,5.782662356068613e-06,1
000193,0.0008392586023546755,0.028067968785762787,5.589060875673795e-19,0.9997878670692444,0.8826451301574707,8.51179429446347e-05,9.221518837421172e-08,2.4842318453011103e-05,1
