image_name,target_components,ohem_mIoU,candidate_mIoU,per_image_delta_mIoU,ohem_Pd,candidate_Pd,per_image_delta_Pd,ohem_Precision,candidate_Precision,per_image_delta_precision,ohem_FA_ppm,candidate_FA_ppm,per_image_delta_FA,ohem_FP_components,candidate_FP_components,delta_FP_components,target_lost_count,target_gained_count,target_shrink_pixels,target_over_suppressed_pixels,removed_far_fp_pixels,new_fp_components,removed_fp_components,retained_fp_components,ohem_boundary_excess_pixels,candidate_boundary_excess_pixels,boundary_excess_delta,ohem_far_fp_pixels,candidate_far_fp_pixels,far_fp_delta,ohem_detached_near_fp_pixels,candidate_detached_near_fp_pixels,detached_near_fp_delta,target_prob_ohem,target_prob_candidate,target_prob_delta,far_bg_prob_ohem,far_bg_prob_candidate,far_bg_prob_delta
000541,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9864428639411926,0.9938920736312866,0.007449209690093994,1.3241336205283005e-07,4.1303007947135484e-07,2.806167174185248e-07
000832,2,0.7727272727272727,0.58,-0.19272727272727275,1.0,1.0,0.0,0.8947368421052632,0.7435897435897436,-0.15114709851551955,61.03515625,152.587890625,91.552734375,0,0,0,0,0,6,7,0,1,0,1,4,10,6,0,0,0,0,0,0,0.8486419916152954,0.7234570384025574,-0.12518495321273804,6.852842915350266e-08,5.467470032272104e-09,-6.306095912123055e-08
000710,2,0.7678571428571429,0.6153846153846154,-0.15247252747252749,1.0,1.0,0.0,0.9148936170212766,0.7547169811320755,-0.16017663588920106,61.03515625,198.3642578125,137.3291015625,0,0,0,0,0,6,8,0,0,0,2,4,13,9,0,0,0,0,0,0,0.8186892867088318,0.7612723112106323,-0.05741697549819946,5.3929479548742165e-08,4.7000277447750705e-08,-6.929202100991461e-09
000316,2,0.9803921568627451,0.9738562091503268,-0.006535947712418277,1.0,1.0,0.0,0.9803921568627451,0.9802631578947368,-0.00012899896800822042,45.7763671875,45.7763671875,0.0,0,0,0,0,0,1,2,0,1,0,1,3,3,0,0,0,0,0,0,0,0.9967557787895203,0.9927093386650085,-0.004046440124511719,2.3043430985580926e-07,1.0023698138184045e-07,-1.3019732136854145e-07
001142,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997084140777588,0.9999539256095886,0.000245511531829834,2.0210778828300136e-08,1.739874377904016e-08,-2.8120350492599755e-09
000409,2,0.717948717948718,0.5238095238095238,-0.19413919413919412,1.0,1.0,0.0,0.8,0.6875,-0.11250000000000004,106.8115234375,152.587890625,45.7763671875,0,0,0,0,0,6,8,0,0,0,2,7,10,3,0,0,0,0,0,0,0.8662299513816833,0.6888238191604614,-0.17740613222122192,1.5095362471129192e-07,3.2716008036004496e-07,1.7620645564875304e-07
000226,2,0.8133333333333334,0.6707317073170732,-0.14260162601626014,1.0,1.0,0.0,0.9242424242424242,0.8208955223880597,-0.10334690185436446,76.2939453125,183.10546875,106.8115234375,0,0,0,0,0,11,14,0,0,0,2,5,12,7,0,0,0,0,0,0,0.857671320438385,0.7912933826446533,-0.06637793779373169,4.569788103481187e-08,2.9504274579039702e-08,-1.619360645577217e-08
001133,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999439537525177,0.9998300075531006,0.000390470027923584,1.1060428128928379e-08,5.8883671272269567e-08,4.782324225516277e-08
001255,1,0.9078947368421053,0.8783783783783784,-0.02951635846372691,1.0,1.0,0.0,0.9452054794520548,0.9701492537313433,0.02494377427928851,61.03515625,30.517578125,-30.517578125,0,0,0,0,0,4,6,0,0,0,1,4,2,-2,0,0,0,0,0,0,0.955631673336029,0.9084267020225525,-0.04720497131347656,4.037464805151103e-06,2.7381244649404834e-07,-3.7636523302353453e-06
000558,1,0.9827586206896551,0.9827586206896551,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9821467399597168,0.9790785312652588,-0.003068208694458008,1.605488648692699e-07,5.820708537385144e-08,-1.0234177949541845e-07
