image_name,target_components,ohem_mIoU,erd_mIoU,per_image_delta_mIoU,ohem_Pd,erd_Pd,per_image_delta_Pd,ohem_Precision,erd_Precision,per_image_delta_precision,ohem_FA_ppm,erd_FA_ppm,per_image_delta_FA,ohem_FP_components,erd_FP_components,delta_FP_components,target_lost_count,target_gained_count,target_shrink_pixels,target_over_suppressed_pixels,removed_far_fp_pixels,new_fp_components,removed_fp_components,retained_fp_components,ohem_boundary_excess_pixels,erd_boundary_excess_pixels,boundary_excess_delta,ohem_far_fp_pixels,erd_far_fp_pixels,far_fp_delta,ohem_detached_near_fp_pixels,erd_detached_near_fp_pixels,detached_near_fp_delta,target_prob_ohem,target_prob_erd,target_prob_delta,far_bg_prob_ohem,far_bg_prob_erd,far_bg_prob_delta,erd_suppression_target_mean,erd_suppression_target_dilate_mean,erd_suppression_far_bg_mean,erd_protection_target_mean,erd_protection_far_bg_mean,erd_clutter_target_mean,erd_clutter_far_bg_mean
000541,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9864428639411926,0.954758882522583,-0.03168398141860962,1.3241336205283005e-07,1.3713653324032293e-08,-1.1869970961697618e-07,7.652918855640962e-17,1.485727502397588e-13,1.3994683027267456,1.0,0.6081592440605164,2.9118524480509222e-08,0.4923470914363861
000832,2,0.7727272727272727,0.6382978723404256,-0.13442940038684714,1.0,1.0,0.0,0.8947368421052632,0.8108108108108109,-0.08392603129445231,61.03515625,106.8115234375,45.7763671875,0,0,0,0,0,6,7,0,0,0,1,4,7,3,0,0,0,0,0,0,0.8486419916152954,0.7389995455741882,-0.10964244604110718,6.852842915350266e-08,1.3261876929959726e-08,-5.526655399989977e-08,2.6008253710407825e-12,2.081684016275176e-07,2.5678553581237793,0.9999998211860657,0.2602499723434448,4.82489303976763e-06,0.7321038842201233
000710,2,0.7678571428571429,0.59375,-0.1741071428571429,1.0,1.0,0.0,0.9148936170212766,0.76,-0.15489361702127658,61.03515625,183.10546875,122.0703125,0,0,0,0,0,8,10,0,0,0,2,4,12,8,0,0,0,0,0,0,0.8186892867088318,0.729473352432251,-0.08921593427658081,5.3929479548742165e-08,1.655189407756552e-08,-3.7377585471176644e-08,8.652580874013438e-10,1.446925921300135e-06,2.2044031620025635,0.9999971985816956,0.36499783396720886,1.192318904941203e-05,0.6682999134063721
000316,2,0.9803921568627451,0.9548387096774194,-0.025553447185325706,1.0,1.0,0.0,0.9803921568627451,0.9673202614379085,-0.013071895424836555,45.7763671875,76.2939453125,30.517578125,0,0,0,0,0,2,2,0,0,0,1,3,5,2,0,0,0,0,0,0,0.9967557787895203,0.9873842597007751,-0.009371519088745117,2.3043430985580926e-07,1.3372924101417993e-08,-2.1706138397803443e-07,0.0,2.544475289625766e-19,1.4935857057571411,1.0,0.5498083829879761,5.4207680011408854e-11,0.5031828284263611
001142,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997084140777588,0.9991912841796875,-0.0005171298980712891,2.0210778828300136e-08,3.2545031558584014e-08,1.2334252730283879e-08,0.0,3.189296049477264e-10,2.720526933670044,1.0,0.27753499150276184,1.3478061548777287e-11,0.7419745922088623
000409,2,0.717948717948718,0.6190476190476191,-0.09890109890109888,1.0,1.0,0.0,0.8,0.7222222222222222,-0.07777777777777783,106.8115234375,152.587890625,45.7763671875,0,0,0,0,0,4,6,0,0,0,2,7,10,3,0,0,0,0,0,0,0.8662299513816833,0.7908687591552734,-0.07536119222640991,1.5095362471129192e-07,4.760225635891402e-08,-1.033513683523779e-07,0.0,1.9104518287349492e-06,2.260650873184204,1.0,0.3671298921108246,1.4389891056509896e-08,0.6858970522880554
000226,2,0.8133333333333334,0.7125,-0.10083333333333333,1.0,1.0,0.0,0.9242424242424242,0.8507462686567164,-0.07349615558570777,76.2939453125,152.587890625,76.2939453125,0,0,0,0,0,10,15,0,0,0,2,5,10,5,0,0,0,0,0,0,0.857671320438385,0.8056784272193909,-0.05199289321899414,4.569788103481187e-08,2.8904647564331754e-08,-1.6793233470480118e-08,7.549585089028366e-12,2.6254213025822537e-08,2.4724295139312744,0.9999997615814209,0.321885883808136,2.2771625936002238e-06,0.7098624110221863
001133,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999439537525177,0.9984840750694275,-0.0009554624557495117,1.1060428128928379e-08,1.427620155425302e-08,3.2157734253246417e-09,0.0,1.975174784472032e-14,1.5617238283157349,1.0,0.5745885372161865,5.777436688780835e-12,0.4932052791118622
001255,1,0.9078947368421053,0.8918918918918919,-0.016002844950213424,1.0,1.0,0.0,0.9452054794520548,0.9705882352941176,0.025382755842062843,61.03515625,30.517578125,-30.517578125,0,0,0,0,0,3,5,0,0,0,1,4,2,-2,0,0,0,0,0,0,0.955631673336029,0.9261407852172852,-0.029490888118743896,4.037464805151103e-06,2.130219556306656e-08,-4.0161626202461775e-06,0.0,0.017372533679008484,1.3989808559417725,1.0,0.6007764339447021,9.541733625439974e-09,0.5009090900421143
000558,1,0.9827586206896551,0.9827586206896551,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9821467399597168,0.9820897579193115,-5.698204040527344e-05,1.605488648692699e-07,3.035352591496121e-08,-1.3019533184888132e-07,0.0,0.0,1.6014262437820435,1.0,0.5529497265815735,4.891994361683194e-12,0.5537930130958557
