image_name,target_components,ohem_mIoU,erd_mIoU,per_image_delta_mIoU,ohem_Pd,erd_Pd,per_image_delta_Pd,ohem_Precision,erd_Precision,per_image_delta_precision,ohem_FA_ppm,erd_FA_ppm,per_image_delta_FA,ohem_FP_components,erd_FP_components,delta_FP_components,target_lost_count,target_gained_count,target_shrink_pixels,target_over_suppressed_pixels,removed_far_fp_pixels,new_fp_components,removed_fp_components,retained_fp_components,ohem_boundary_excess_pixels,erd_boundary_excess_pixels,boundary_excess_delta,ohem_far_fp_pixels,erd_far_fp_pixels,far_fp_delta,ohem_detached_near_fp_pixels,erd_detached_near_fp_pixels,detached_near_fp_delta,target_prob_ohem,target_prob_erd,target_prob_delta,far_bg_prob_ohem,far_bg_prob_erd,far_bg_prob_delta,erd_suppression_target_mean,erd_suppression_target_dilate_mean,erd_suppression_far_bg_mean,erd_protection_target_mean,erd_protection_far_bg_mean,erd_clutter_target_mean,erd_clutter_far_bg_mean
000092,1,1.0,0.11392405063291139,-0.8860759493670887,1.0,1.0,0.0,1.0,0.11392405063291139,-0.8860759493670887,0.0,1068.115234375,1068.115234375,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,70,70,0,0,0,0.9998469948768616,0.9965237379074097,-0.0033232569694519043,2.879140765799093e-07,0.0010796524584293365,0.0010793645633384585,0.0,4.8380492456224014e-14,1.838033676147461,1.0,0.4335235059261322,5.651044632237756e-10,0.5769773721694946
000009,3,1.0,0.6666666666666666,-0.33333333333333337,1.0,0.6666666666666666,-0.33333333333333337,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9925086498260498,0.6657497882843018,-0.32675886154174805,9.322361904651189e-08,6.758902770798159e-08,-2.56345913385303e-08,1.3330148458480835,0.42079249024391174,2.419595241546631,0.6667378544807434,0.3613854646682739,0.3333248794078827,0.6884997487068176
000628,2,0.6285714285714286,0.2972972972972973,-0.33127413127413124,1.0,0.5,-0.5,0.8148148148148148,0.6111111111111112,-0.2037037037037036,76.2939453125,106.8115234375,30.517578125,0,0,0,1,0,13,15,0,0,1,1,5,7,2,0,0,0,0,0,0,0.7636146545410156,0.3777174651622772,-0.3858971893787384,2.210954903603124e-07,1.589327069950741e-08,-2.0520221255537763e-07,1.999951720237732,1.0296226739883423,1.3862018585205078,0.5000097751617432,0.6203387379646301,0.49999770522117615,0.4723719656467438
000766,1,0.7058823529411765,0.3888888888888889,-0.3169934640522876,1.0,1.0,0.0,0.75,0.5833333333333334,-0.16666666666666663,61.03515625,76.2939453125,15.2587890625,0,0,0,0,0,5,5,0,0,0,1,4,5,1,0,0,0,0,0,0,0.9204606413841248,0.6665571928024292,-0.25390344858169556,1.770807678269648e-08,1.5635126970892088e-08,-2.072949811804392e-09,2.051935620657648e-14,2.3570113683035743e-07,1.4049893617630005,1.0,0.5021094083786011,3.3618230190768372e-06,0.47288867831230164
000127,2,0.6818181818181818,0.36585365853658536,-0.3159645232815964,1.0,0.5,-0.5,0.7894736842105263,0.75,-0.03947368421052633,122.0703125,76.2939453125,-45.7763671875,0,0,0,1,0,16,20,0,0,1,1,8,5,-3,0,0,0,0,0,0,0.8337892293930054,0.4049294590950012,-0.42885977029800415,3.3807069144131674e-07,1.9590007838132806e-08,-3.184806871558976e-07,1.4342973232269287,0.48058193922042847,1.0274478197097778,0.6272789239883423,0.6920979022979736,0.46977153420448303,0.3620910048484802
000722,2,0.65625,0.3492063492063492,-0.3070436507936508,1.0,0.5,-0.5,0.84,0.7586206896551724,-0.0813793103448276,122.0703125,106.8115234375,-15.2587890625,0,0,0,1,0,22,26,0,0,1,1,8,7,-1,0,0,0,0,0,0,0.743431031703949,0.39943280816078186,-0.3439982235431671,1.0474660427917115e-07,1.1034134494991577e-08,-9.371247244871483e-08,1.9984045028686523,0.9485928416252136,1.692510962486267,0.5003546476364136,0.5147747993469238,0.4999557137489319,0.5665018558502197
000632,2,0.8235294117647058,0.5263157894736842,-0.29721362229102166,1.0,1.0,0.0,0.875,0.7142857142857143,-0.1607142857142857,61.03515625,122.0703125,61.03515625,0,0,0,0,0,8,9,0,0,0,2,4,8,4,0,0,0,0,0,0,0.9280955791473389,0.7273198366165161,-0.20077574253082275,1.3597063741599413e-07,1.7784596906267325e-08,-1.1818603695701313e-07,1.513991094493662e-14,5.610367566077912e-07,1.6025258302688599,1.0,0.5516349077224731,3.633153156101798e-08,0.5027489066123962
000138,1,0.85,0.56,-0.2899999999999999,1.0,1.0,0.0,0.9444444444444444,0.7,-0.24444444444444446,15.2587890625,91.552734375,76.2939453125,0,0,0,0,0,4,5,0,0,0,1,1,6,5,0,0,0,0,0,0,0.856761634349823,0.7795489430427551,-0.07721269130706787,7.456411026396381e-07,8.370868442852952e-08,-6.619324040002539e-07,0.0,6.152549048010769e-08,1.7092256546020508,1.0,0.5375015139579773,1.5415937468787888e-06,0.5176805257797241
000144,2,0.7391304347826086,0.4528301886792453,-0.28630024610336335,1.0,1.0,0.0,0.85,0.6486486486486487,-0.2013513513513513,91.552734375,198.3642578125,106.8115234375,0,0,0,0,0,10,11,0,0,0,2,6,13,7,0,0,0,0,0,0,0.8141504526138306,0.6347814202308655,-0.1793690323829651,1.7839758470472589e-07,1.1089227314187156e-08,-1.6730835739053873e-07,8.393285388539826e-14,1.2974926688613664e-10,1.484626054763794,1.0,0.5181774497032166,3.996170221398643e-07,0.4924623370170593
000188,2,0.847457627118644,0.5652173913043478,-0.28224023581429625,1.0,1.0,0.0,0.9090909090909091,0.7222222222222222,-0.18686868686868685,76.2939453125,228.8818359375,152.587890625,0,0,0,0,0,12,14,0,0,0,2,5,15,10,0,0,0,0,0,0,0.900981605052948,0.7524998784065247,-0.14848172664642334,8.912885363088208e-08,2.021207023972238e-08,-6.89167833911597e-08,1.6630972640707675e-11,2.906764828836117e-09,2.3487601280212402,0.9999996423721313,0.3127264380455017,1.0479693628440145e-06,0.7043019533157349
000845,2,0.8043478260869565,0.5357142857142857,-0.26863354037267084,1.0,1.0,0.0,0.8809523809523809,0.6666666666666666,-0.2142857142857143,76.2939453125,228.8818359375,152.587890625,0,0,0,0,0,10,11,0,0,0,2,5,15,10,0,0,0,0,0,0,0.8922103047370911,0.7579166889190674,-0.13429361581802368,7.698179160797736e-08,1.0784462212143353e-08,-6.619733028401242e-08,3.219236129840125e-13,2.402899823561455e-10,2.1858420372009277,0.9999998211860657,0.41074079275131226,1.1452349326646072e-06,0.6426594257354736
000763,1,0.7058823529411765,0.44,-0.2658823529411765,1.0,1.0,0.0,0.8,0.5,-0.30000000000000004,45.7763671875,167.8466796875,122.0703125,0,1,1,0,0,1,1,0,1,0,1,3,4,1,0,7,7,0,0,0,0.8184671998023987,0.7246503829956055,-0.09381681680679321,1.0802700955991895e-07,0.00011289170652162284,0.00011278368037892506,8.487022716552328e-12,1.1777311348382113e-09,2.006035089492798,0.9999989867210388,0.4648885428905487,1.8867503968067467e-06,0.5952050089836121
