label,summary,mIoU,nIoU,Pd,Precision,FA_ppm,F1,FP_pixels,FP_components
OHEM-400,/home/AAAI/OHCM-MSHNet-1/results/step3_ohcm_light_gate/20260613_step3_gate/MSHNetOHEM/NUDT-SIRST/seed_42/eval_full/summary_metrics.json,0.8343928490754784,0.8491602506370457,0.9798941798941799,0.9062773824962321,61.4487981221762,0.9097210005981071,,47.0
TWA,docs/internal/twa/seed42_nudt/eval_full_twa/summary_metrics.json,0.8388914071100175,0.8544159756800427,0.9809523809523809,0.9097292932130192,59.08184740916792,0.9123881963518558,2571.0,31.0
TWA+BN,docs/internal/twa/seed42_nudt/eval_full_twa_bn/summary_metrics.json,0.8341080766995933,0.8498150197770316,0.9809523809523809,0.9065679601431479,61.19601697806853,0.9095517186757486,2663.0,39.0
