image_name,threshold,IoU,nIoU,Pd,detected_targets,target_components,FA,FA_ppm,Precision,Recall,F1,FP_pixels,GT_pixels,FP_components,target_area,mean_prob_target,mean_prob_bg
Misc_70,0.5,0.8125,0.8125,1.0,1,1,1.1787170843254202e-05,11.787170843254202,0.9629629629629629,0.8387096774193549,0.896551724137931,1,31,0,31,0.8255572319030762,2.15296313399449e-05
Misc_214,0.5,0.864,0.864,1.0,1,1,0.0001718213058419244,171.8213058419244,0.9152542372881356,0.9391304347826087,0.9270386266094419,10,115,0,115,0.9400937557220459,0.0001681345165707171
Misc_96,0.5,0.8648648648648649,0.8648648648648649,1.0,1,1,6.393350915048349e-05,63.933509150483495,0.96,0.897196261682243,0.927536231884058,4,107,0,107,0.8982310891151428,6.805648445151746e-05
Misc_311,0.5,0.8888888888888888,0.8888888888888888,1.0,1,1,0.0,0.0,1.0,0.8888888888888888,0.9411764705882353,0,18,0,18,0.8529196977615356,6.339634524010762e-07
Misc_158,0.5,0.5,0.5,1.0,1,1,0.0,0.0,1.0,0.5,0.6666666666666666,0,14,0,14,0.46068066358566284,7.873937647673301e-06
Misc_127,0.5,0.7142857142857143,0.7142857142857143,1.0,1,1,0.0,0.0,1.0,0.7142857142857143,0.8333333333333333,0,21,0,21,0.7216055393218994,6.587591627749134e-08
Misc_323,0.5,0.6,0.6,1.0,1,1,0.0,0.0,1.0,0.6,0.7499999999999999,0,15,0,15,0.5964791774749756,4.341366377502709e-08
Misc_54,0.5,0.8157894736842105,0.8157894736842105,1.0,1,1,0.0,0.0,1.0,0.8157894736842105,0.898550724637681,0,38,0,38,0.8138422966003418,1.4696242089939915e-07
Misc_396,0.5,0.75,0.75,1.0,1,1,3.1440938197595815e-05,31.440938197595816,0.9230769230769231,0.8,0.8571428571428571,3,45,1,45,0.7154263854026794,3.9572092646267265e-05
Misc_6,0.5,0.8484848484848485,0.8484848484848485,1.0,1,1,2.980759199368079e-05,29.807591993680788,0.9333333333333333,0.9032258064516129,0.9180327868852459,2,31,0,31,0.9008892178535461,3.6111901863478124e-05
Misc_276,0.5,0.0,0.0,0.0,0,3,0.00023576009053187475,235.76009053187477,0.0,0.0,0.0,20,95,1,95,3.0560232744392124e-07,0.000298321625450626
