image_name,ohem_mIoU,cga_mIoU,ohem_Pd,cga_Pd,ohem_Precision,cga_Precision,ohem_FA_ppm,cga_FA_ppm,ohem_FP_components,cga_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,boundary_excess_pixels,center_peak_prob,center_peak_hit_rate,scale_acc_on_target,local_peak_false_alarm_count,boundary_prob_mean
000541,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.9042307138442993,1.0,1.0,0,0.6730448007583618
000832,0.7727272727272727,0.75,1.0,1.0,0.8947368421052632,0.8918918918918919,61.03515625,61.03515625,0,0,0,0,0,0,1,0,0.7715332508087158,1.0,1.0,0,0.5740339159965515
000710,0.7678571428571429,0.7192982456140351,1.0,1.0,0.9148936170212766,0.8913043478260869,61.03515625,76.2939453125,0,0,1,1,0,0,2,1,0.6855872273445129,1.0,0.442307710647583,0,0.45832309126853943
000316,0.9803921568627451,0.9738562091503268,1.0,1.0,0.9803921568627451,0.9802631578947368,45.7763671875,45.7763671875,0,0,1,1,1,1,1,1,0.877845048904419,1.0,1.0,0,0.8292986154556274
001142,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.8507927060127258,1.0,1.0,0,0.7601689696311951
000409,0.717948717948718,0.6410256410256411,1.0,1.0,0.8,0.78125,106.8115234375,106.8115234375,0,0,1,1,1,1,3,1,0.7693189382553101,1.0,1.0,0,0.4611421823501587
000226,0.8133333333333334,0.7468354430379747,1.0,1.0,0.9242424242424242,0.8676470588235294,76.2939453125,137.3291015625,0,0,4,3,0,0,2,4,0.4476199150085449,0.0,0.9714285731315613,0,0.5988976359367371
001133,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.870715856552124,1.0,1.0,0,0.7771740555763245
001255,0.9078947368421053,0.8961038961038961,1.0,1.0,0.9452054794520548,0.9324324324324325,61.03515625,76.2939453125,0,0,1,1,0,0,1,1,0.9467990398406982,1.0,1.0,0,0.7073909044265747
000558,0.9827586206896551,0.9661016949152542,1.0,1.0,1.0,0.9827586206896551,0.0,15.2587890625,0,0,1,1,0,0,0,1,0.9648246169090271,1.0,1.0,0,0.8051049113273621
001000,0.9056603773584906,0.9056603773584906,1.0,1.0,0.9795918367346939,0.9795918367346939,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0.27765244245529175,0.0,1.0,0,0.696107029914856
