image_id,component_count,detached_far_fp_components,boundary_excess_components,detached_far_fp_area,ohem_budget_pixels,candidate_to_budget_ratio
001137,1,0,0,0.0,654.0,0.0
000345,1,0,0,0.0,654.0,0.0
000774,1,0,0,0.0,654.0,0.0
000593,1,0,0,0.0,652.0,0.0
001002,1,0,0,0.0,652.0,0.0
001024,1,0,0,0.0,652.0,0.0
001285,1,0,0,0.0,653.0,0.0
000649,2,0,0,0.0,652.0,0.0
000282,1,0,0,0.0,652.0,0.0
000037,1,0,0,0.0,654.0,0.0
001150,1,0,0,0.0,654.0,0.0
001124,1,0,0,0.0,654.0,0.0
001185,2,0,0,0.0,652.0,0.0
000718,2,0,0,0.0,651.0,0.0
000968,1,0,0,0.0,652.0,0.0
001216,1,0,0,0.0,654.0,0.0
000494,2,0,0,0.0,648.0,0.0
001015,1,0,0,0.0,651.0,0.0
001186,2,0,0,0.0,652.0,0.0
000197,2,0,0,0.0,652.0,0.0
000811,2,0,0,0.0,652.0,0.0
000601,1,0,0,0.0,653.0,0.0
001040,1,0,0,0.0,651.0,0.0
000735,1,0,0,0.0,653.0,0.0
001029,1,0,0,0.0,650.0,0.0
000623,1,0,0,0.0,654.0,0.0
000436,1,0,0,0.0,652.0,0.0
001242,4,0,0,0.0,649.0,0.0
000813,2,0,0,0.0,652.0,0.0
000493,2,0,0,0.0,648.0,0.0
001053,1,0,0,0.0,652.0,0.0
000410,2,0,0,0.0,652.0,0.0
000936,1,0,0,0.0,652.0,0.0
000473,1,0,0,0.0,652.0,0.0
000478,2,0,0,0.0,648.0,0.0
000458,1,0,0,0.0,652.0,0.0
000709,2,0,0,0.0,652.0,0.0
001307,1,0,0,0.0,653.0,0.0
000781,2,0,0,0.0,652.0,0.0
001023,1,0,0,0.0,652.0,0.0
001004,1,0,0,0.0,651.0,0.0
000359,1,0,0,0.0,654.0,0.0
000287,1,0,0,0.0,651.0,0.0
000482,1,0,0,0.0,651.0,0.0
000941,1,0,0,0.0,652.0,0.0
000067,1,0,0,0.0,654.0,0.0
000284,1,0,0,0.0,651.0,0.0
000447,1,0,0,0.0,651.0,0.0
000894,1,0,0,0.0,651.0,0.0
000163,2,0,0,0.0,651.0,0.0
000059,4,0,0,0.0,649.0,0.0
001222,1,0,0,0.0,654.0,0.0
000945,1,0,0,0.0,652.0,0.0
000446,1,0,0,0.0,652.0,0.0
000193,2,0,0,0.0,651.0,0.0
000746,2,0,0,0.0,650.0,0.0
000733,2,0,0,0.0,651.0,0.0
000621,2,0,0,0.0,652.0,0.0
001131,4,0,0,0.0,649.0,0.0
000085,1,0,0,0.0,654.0,0.0
000064,1,0,0,0.0,655.0,0.0
000312,1,0,0,0.0,652.0,0.0
